_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_408350, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_4058d0, 0, 5, 2, 0, 7, 0, 7, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 44, 5, 29, 0, 0, 0, 0, 0, 24, 0.0, 1.0, 0.0, 0, 0, 0, 0, 12, 0, 137, 0, 0, 0, 0, 
sub_4051b0, 0, 1, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 2, 0, 0, 18, 3, 28, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 
sub_4043e0, 0, 7, 0, 0, 2, 2, 4, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 26, 7, 9, 0, 0, 0, 0, 0, 10, 0.0, 0.5, 0.5, 0, 0, 0, 5, 2, 0, 76, 0, 0, 0, 0, 
sub_405940, 0, 1, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 18, 2, 10, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.0, 0, 0, 0, 0, 3, 0, 48, 0, 0, 0, 0, 
sub_402d10, 0, 4, 0, 0, 5, 0, 5, 0, 0, 0, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 38, 4, 24, 0, 0, 1, 1, 1, 19, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 5, 0, 0, 110, 0, 0, 0, 0, 
sub_405370, 0, 29, 27, 0, 14, 1, 15, 0, 22, 0, 25, 0, 0, 3, 0, 0, 0, 0, 0, 0, 124, 18, 149, 0, 1, 1, 0, 1, 161, 0.0, 0.9333333333333333, 0.06666666666666667, 0.0, 1.0, 0.0, 53, 48, 0, 731, 1, 0, 0, 0, 
sub_40ac10, 0, 11, 1, 0, 9, 0, 9, 0, 1, 0, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 59, 9, 17, 0, 0, 0, 0, 0, 25, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 176, 1, 0, 0, 0, 
sub_40a590, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 3, 18, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 30, 0, 0, 0, 0, 
sub_404ea0, 0, 20, 0, 0, 4, 0, 4, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 57, 18, 21, 0, 0, 1, 1, 1, 12, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3, 0, 0, 127, 1, 0, 0, 0, 
sub_405d40, 0, 8, 8, 0, 7, 0, 7, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 51, 9, 55, 0, 0, 0, 0, 0, 40, 0.0, 1.0, 0.0, 0, 0, 0, 12, 23, 0, 227, 0, 0, 0, 0, 
sub_40a050, 0, 43, 0, 0, 32, 0, 32, 0, 2, 0, 42, 0, 0, 8, 0, 0, 0, 0, 0, 0, 193, 30, 188, 0, 0, 1, 1, 1, 260, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 34, 9, 0, 910, 0, 0, 1, 0, 
sub_408780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_4086d0, 0, 12, 10, 0, 6, 2, 8, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 51, 8, 14, 1, 0, 2, 1, 2, 36, 0.0, 0.75, 0.25, 0.5, 0.0, 0.5, 0, 0, 0, 143, 0, 0, 0, 0, 
sub_408ae0, 0, 10, 0, 0, 6, 1, 7, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 52, 6, 8, 1, 0, 2, 1, 2, 9, 0.0, 0.8571428571428571, 0.14285714285714285, 0.5, 0.0, 0.5, 4, 6, 0, 105, 0, 0, 0, 0, 
sub_405040, 0, 1, 0, 0, 4, 0, 4, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 23, 3, 9, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 
sub_4046a0, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 25, 9, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 
sub_40479f, 0, 5, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 79, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 12, 3, 0, 109, 0, 0, 0, 0, 
sub_404380, 0, 6, 11, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 30, 0, 0, 0, 0, 0, 23, 0.0, 0.0, 1.0, 0, 0, 0, 4, 0, 0, 94, 0, 0, 0, 0, 
sub_40a5d0, 0, 10, 1, 0, 2, 0, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 45, 12, 13, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 0, 8, 0, 97, 0, 0, 0, 0, 
sub_409990, 0, 5, 1, 0, 2, 0, 2, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 28, 3, 15, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 2, 7, 0, 78, 0, 0, 0, 0, 
sub_409fb0, 0, 4, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 18, 6, 7, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 
sub_408f40, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 22, 0, 0, 0, 0, 
sub_409740, 0, 43, 18, 0, 16, 0, 16, 0, 6, 0, 0, 0, 0, 7, 0, 0, 0, 10, 0, 0, 151, 30, 24, 0, 0, 1, 1, 1, 44, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 24, 0, 377, 2, 0, 0, 0, 
sub_408770, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 15, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 
sub_408ac0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 0, 
sub_40a0e0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 3, 7, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 
sub_4088e0, 0, 6, 10, 0, 5, 0, 5, 0, 7, 0, 3, 0, 0, 3, 0, 0, 0, 7, 0, 0, 33, 6, 70, 0, 0, 0, 0, 0, 18, 0.0, 1.0, 0.0, 0, 0, 0, 4, 2, 0, 110, 0, 0, 2, 0, 
sub_404a40, 0, 48, 0, 11, 2, 0, 13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 126, 23, 16, 0, 0, 0, 0, 0, 1, 0.8461538461538461, 0.15384615384615385, 0.0, 0, 0, 0, 40, 36, 0, 469, 0, 0, 0, 0, 
sub_409940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10, 0, 0, 0, 0, 
sub_40a070, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 4, 7, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 25, 0, 0, 0, 0, 
sub_405c90, 0, 13, 4, 0, 8, 0, 8, 0, 1, 0, 7, 0, 0, 4, 0, 0, 0, 0, 0, 0, 64, 8, 41, 0, 0, 0, 0, 0, 29, 0.0, 1.0, 0.0, 0, 0, 0, 0, 10, 0, 175, 0, 0, 0, 0, 
sub_409950, 0, 7, 4, 0, 1, 0, 1, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 26, 5, 15, 0, 0, 0, 0, 0, 11, 0.0, 1.0, 0.0, 0, 0, 0, 2, 8, 0, 90, 0, 0, 0, 0, 
