_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_406170, 0, 6, 2, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 28, 4, 13, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 67, 0, 0, 0, 0, 
sub_405a20, 0, 2, 4, 0, 3, 0, 3, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 22, 2, 15, 0, 0, 0, 0, 0, 9, 0.0, 1.0, 0.0, 0, 0, 0, 0, 4, 0, 55, 0, 0, 0, 0, 
sub_4095a0, 0, 29, 8, 0, 12, 2, 14, 0, 1, 0, 14, 0, 0, 5, 0, 0, 0, 5, 0, 0, 97, 18, 73, 0, 0, 0, 0, 0, 72, 0.0, 0.8571428571428571, 0.14285714285714285, 0, 0, 0, 14, 5, 0, 366, 0, 0, 1, 0, 
sub_405940, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_405e10, 0, 7, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 35, 9, 7, 0, 0, 1, 1, 1, 4, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 2, 0, 75, 0, 0, 0, 0, 
sub_409390, 0, 3, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 27, 3, 6, 0, 0, 1, 1, 1, 3, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 5, 3, 0, 54, 0, 0, 0, 0, 
sub_408a50, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_406030, 0, 5, 2, 0, 7, 0, 7, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 44, 5, 29, 0, 0, 0, 0, 0, 24, 0.0, 1.0, 0.0, 0, 0, 0, 0, 12, 0, 135, 0, 0, 0, 0, 
sub_409730, 0, 20, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 67, 9, 6, 1, 0, 2, 1, 2, 8, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 7, 18, 0, 175, 0, 0, 0, 0, 
sub_4064a0, 0, 8, 8, 0, 7, 0, 7, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 51, 9, 55, 0, 0, 0, 0, 0, 40, 0.0, 1.0, 0.0, 0, 0, 0, 12, 23, 0, 227, 0, 0, 0, 0, 
sub_4029c0, 0, 29, 0, 0, 10, 0, 10, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 133, 29, 36, 0, 0, 2, 2, 2, 34, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6, 2, 0.0, 431, 0, 0, 0, 0, 
sub_4036b0, 0, 479, 87, 311, 121, 3, 435, 0, 44, 0, 28, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1035, 85, 143, 4, 0, 8, 4, 4, 545, 0.7149425287356321, 0.27816091954022987, 0.006896551724137931, 0.5, 0.0, 0.5, 71, 3, 0, 3952, 13, 0, 0, 0, 
sub_4094c0, 0, 10, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 53, 9, 6, 0, 0, 2, 2, 2, 10, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6, 4, 0, 113, 0, 0, 0, 0, 
sub_40a590, 0, 4, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 18, 6, 7, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 
sub_405a50, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 4, 8, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 3, 2, 0, 35, 0, 0, 0, 0, 
sub_405580, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 2, 6, 1, 0, 1, 0, 1, 3, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 1, 0, 26, 0, 0, 0, 0, 
sub_40a830, 0, 10, 1, 0, 2, 0, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 45, 12, 13, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 0, 8, 0, 97, 0, 0, 0, 0, 
sub_404cf0, 0, 11, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 39, 3, 14, 0, 0, 1, 1, 1, 7, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6, 5, 0, 99, 0, 0, 0, 0, 
sub_404ad0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 12, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 1.0, 0, 0, 0, 3, 0, 0, 20, 0, 0, 0, 0, 
sub_405aa0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 3, 11, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 4, 4, 0, 39, 0, 0, 0, 0, 
sub_4061d0, 0, 8, 10, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 28, 9, 20, 0, 0, 0, 0, 0, 18, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 
sub_409450, 0, 12, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 57, 9, 16, 1, 0, 2, 1, 2, 14, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 8, 6, 0, 138, 0, 0, 0, 0, 
sub_402e30, 0, 24, 34, 0, 11, 1, 12, 0, 12, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 80, 5, 17, 0, 0, 0, 0, 0, 81, 0.0, 0.9166666666666666, 0.08333333333333333, 0, 0, 0, 6, 13, 0, 361, 0, 0, 0, 0, 
