_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_40b090, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 20, 5, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 
sub_40ba20, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 3, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 24, 0, 0, 0, 0, 
sub_40a680, 0, 7, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 38, 7, 10, 0, 0, 1, 1, 1, 9, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 1, 0, 85, 0, 0, 0, 0, 
sub_4070c0, 0, 22, 4, 0, 13, 0, 13, 0, 0, 0, 12, 0, 0, 6, 0, 0, 0, 0, 0, 0, 99, 20, 53, 0, 0, 0, 0, 0, 67, 0.0, 1.0, 0.0, 0, 0, 0, 2, 31, 0, 356, 1, 0, 0, 0, 
sub_40b940, 0, 4, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 18, 6, 7, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 
sub_40b8e0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 
sub_405940, 0, 46, 2, 0, 36, 0, 36, 0, 0, 0, 27, 0, 0, 4, 0, 0, 0, 0, 0, 0, 202, 23, 123, 0, 0, 0, 0, 0, 150, 0.0, 1.0, 0.0, 0, 0, 0, 27, 19, 0, 724, 2, 0, 7, 0, 
sub_40ab30, 0, 20, 0, 0, 11, 0, 11, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 100, 15, 18, 1, 0, 5, 4, 2, 22, 0.0, 1.0, 0.0, 0.2, 0.0, 0.8, 12, 20, 0, 253, 0, 0, 0, 0, 
sub_402d10, 0, 148, 35, 0, 101, 0, 101, 0, 10, 0, 21, 0, 0, 9, 0, 0, 0, 0, 0, 0, 648, 80, 108, 0, 0, 2, 2, 1, 245, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 40, 110, 0, 1938, 14, 0, 1, 0, 
sub_409f20, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 18, 0, 0, 0, 0, 
sub_4062c0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 2, 9, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 
sub_40b2e0, 0, 7, 4, 0, 1, 0, 1, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 26, 5, 15, 0, 0, 0, 0, 0, 11, 0.0, 1.0, 0.0, 0, 0, 0, 2, 8, 0, 90, 0, 0, 0, 0, 
sub_40bf20, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 3, 18, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 30, 0, 0, 0, 0, 
sub_40bfc0, 0, 73, 1, 0, 47, 4, 51, 0, 0, 0, 32, 0, 0, 13, 0, 0, 0, 3, 0, 0, 281, 37, 55, 0, 0, 2, 2, 2, 225, 0.0, 0.9215686274509803, 0.0784313725490196, 0.0, 0.0, 1.0, 62, 20, 0, 1096, 4, 0, 3, 0, 
sub_4076c0, 0, 8, 8, 0, 7, 0, 7, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 51, 9, 55, 0, 0, 0, 0, 0, 40, 0.0, 1.0, 0.0, 0, 0, 0, 12, 23, 0, 227, 0, 0, 0, 0, 
sub_40ac10, 0, 48, 9, 0, 14, 3, 17, 0, 1, 0, 16, 0, 0, 6, 0, 0, 0, 11, 0, 0, 123, 24, 167, 0, 0, 0, 0, 0, 77, 0.0, 0.8235294117647058, 0.17647058823529413, 0, 0, 0, 27, 29, 0, 577, 1, 0, 0, 0, 
sub_40ba70, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 3, 7, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 
sub_4062e0, 0, 6, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 22, 6, 20, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 
sub_407320, 0, 9, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 30, 7, 11, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 11, 0, 0, 93, 0, 0, 0, 0, 
sub_40b9e0, 0, 43, 0, 0, 32, 0, 32, 0, 2, 0, 42, 0, 0, 8, 0, 0, 0, 0, 0, 0, 193, 30, 188, 0, 0, 1, 1, 1, 260, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 34, 9, 0, 910, 0, 0, 1, 0, 
sub_4057c0, 0, 7, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 29, 7, 9, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 6, 0, 0, 66, 1, 0, 0, 0, 
sub_40b370, 0, 113, 53, 0, 44, 16, 60, 0, 23, 0, 43, 0, 0, 9, 0, 0, 0, 0, 0, 0, 353, 60, 138, 5, 0, 7, 2, 2, 416, 0.0, 0.7333333333333333, 0.26666666666666666, 0.7142857142857143, 0.0, 0.2857142857142857, 118, 34, 0.0, 1945, 3, 0, 0, 0, 
sub_406ea0, 0, 26, 0, 0, 10, 0, 10, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 95, 14, 15, 1, 0, 2, 1, 1, 24, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 4, 22, 0, 250, 0, 0, 0, 0, 
sub_405610, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 25, 9, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 
