_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_406430, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 
sub_402d9b, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 1, 6, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 16, 0, 0, 0, 0, 
sub_415f70, 0, 14, 5, 0, 6, 0, 6, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 58, 8, 27, 0, 0, 0, 0, 0, 15, 0.0, 1.0, 0.0, 0, 0, 0, 0, 9, 0, 148, 0, 0, 0, 0, 
sub_4096f0, 0, 5, 0, 0, 4, 0, 4, 0, 0, 0, 15, 0, 0, 2, 0, 0, 0, 0, 0, 0, 26, 4, 67, 0, 0, 0, 0, 0, 45, 0.0, 1.0, 0.0, 0, 0, 0, 0, 31, 0, 201, 0, 0, 0, 0, 
sub_408460, 0, 12, 53, 0, 19, 0, 19, 0, 0, 0, 26, 0, 0, 5, 0, 0, 0, 0, 0, 0, 98, 7, 196, 1, 0, 3, 2, 1, 233, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 43, 0, 0, 706, 1, 0, 2, 0, 
sub_4095a0, 0, 16, 0, 0, 16, 2, 18, 0, 0, 0, 7, 0, 0, 8, 0, 0, 0, 0, 0, 0, 105, 9, 35, 0, 0, 1, 1, 1, 43, 0.0, 0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 1.0, 3, 36, 0, 300, 0, 0, 0, 0, 
sub_404100, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 22, 7, 15, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 67, 0, 0, 0, 0, 
sub_40a290, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 3, 24, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 52, 0, 0, 0, 0, 
sub_4082e0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 33, 0, 0, 0, 0, 
sub_4066e0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 
sub_414980, 0, 16, 4, 0, 8, 0, 8, 0, 1, 0, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 73, 13, 28, 0, 1, 1, 0, 1, 43, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 10, 13, 0, 237, 0, 0, 0, 0, 
sub_408380, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 
sub_40c930, 0, 22, 9, 0, 15, 0, 15, 0, 2, 0, 18, 0, 0, 6, 0, 0, 0, 4, 0, 0, 114, 23, 135, 1, 0, 2, 1, 2, 90, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 15, 22, 0, 427, 1, 0, 1, 0, 
sub_407430, 0, 17, 0, 0, 10, 0, 10, 0, 0, 0, 12, 0, 0, 5, 0, 0, 0, 0, 0, 0, 70, 16, 48, 0, 0, 0, 0, 0, 33, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 211, 0, 0, 0, 0, 
sub_40af20, 0, 34, 28, 0, 9, 0, 9, 0, 8, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 101, 17, 51, 0, 0, 0, 0, 0, 67, 0.0, 1.0, 0.0, 0, 0, 0, 10, 35, 0, 405, 2, 0, 0, 0, 
sub_412ed0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_416968, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 3, 6, 0, 0, 1, 1, 1, 1, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 1, 0, 37, 0, 0, 0, 0, 
sub_416310, 0, 18, 0, 0, 3, 0, 3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 54, 14, 12, 0, 0, 2, 2, 1, 13, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8, 4, 0, 139, 0, 0, 0, 0, 
sub_4058c0, 0, 6, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 9, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 1.0, 0, 0, 0, 7, 3, 0, 59, 0, 0, 0, 0, 
sub_40a830, 0, 43, 48, 0, 24, 0, 24, 0, 43, 0, 34, 0, 0, 7, 0, 0, 0, 0, 0, 0, 184, 26, 173, 0, 0, 1, 1, 1, 325, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 130, 110, 0, 1502, 0, 0, 0, 0, 
sub_4161cd, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 14, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 
sub_410540, 0, 20, 3, 0, 9, 0, 9, 0, 3, 0, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 89, 14, 33, 0, 0, 0, 0, 0, 36, 0.0, 1.0, 0.0, 0, 0, 0, 15, 26, 0, 285, 0, 0, 0, 0, 
sub_403260, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 3, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 
sub_404050, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
