_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_4044fb, 0, 20, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 51, 23, 9, 0, 0, 0, 0, 0, 4, 0.0, 0.5, 0.5, 0, 0, 0, 13, 6, 0, 148, 0, 0, 0, 0, 
sub_404e40, 0, 11, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 47, 8, 8, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 7, 0, 98, 0, 0, 0, 0, 
sub_406b10, 0, 20, 10, 0, 18, 0, 18, 0, 2, 0, 22, 0, 0, 6, 0, 0, 0, 0, 0, 0, 116, 10, 160, 0, 0, 0, 0, 0, 120, 0.0, 1.0, 0.0, 0, 0, 0, 27, 87, 0, 650, 0, 0, 0, 0, 
sub_4110c0, 0, 96, 64, 27, 45, 0, 72, 0, 27, 0, 17, 0, 0, 6, 0, 0, 0, 0, 0, 0, 319, 30, 115, 0, 0, 0, 0, 0, 296, 0.375, 0.625, 0.0, 0, 0, 0, 82, 171, 0, 1731, 3, 0, 0, 0, 
sub_406970, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 
sub_40bd60, 0, 5, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 27, 7, 13, 0, 0, 1, 1, 1, 10, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 2, 0, 75, 0, 0, 0, 0, 
sub_405230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 
sub_4085b0, 0, 4, 3, 0, 5, 0, 5, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 32, 4, 22, 0, 0, 1, 1, 1, 25, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3, 6, 0, 114, 0, 0, 0, 0, 
sub_408770, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 3, 24, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 52, 0, 0, 0, 0, 
sub_4098b0, 0, 59, 41, 0, 30, 0, 30, 0, 34, 0, 12, 0, 0, 9, 0, 0, 0, 3, 0, 0, 238, 41, 70, 2, 0, 3, 1, 1, 170, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 102, 35, 0, 988, 1, 0, 0, 0, 
sub_4146f0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 
sub_402ea0, 0, 6, 10, 0, 7, 3, 10, 0, 0, 0, 18, 0, 0, 3, 0, 0, 0, 0, 0, 0, 40, 6, 83, 0, 0, 0, 0, 0, 77, 0.0, 0.7, 0.3, 0, 0, 0, 4, 28, 0, 279, 0, 0, 1, 0, 
sub_411370, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10, 0, 0, 0, 0, 
sub_414e48, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 3, 6, 0, 0, 1, 1, 1, 1, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 1, 0, 37, 0, 0, 0, 0, 
sub_411770, 0, 7, 6, 0, 7, 1, 8, 0, 2, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 45, 5, 27, 0, 0, 1, 1, 1, 34, 0.0, 0.875, 0.125, 0.0, 0.0, 1.0, 2, 8, 0, 158, 0, 0, 0, 0, 
sub_406930, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_406950, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_40bb78, 0, 7, 3, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 40, 6, 36, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.0, 0, 0, 0, 2, 4, 0, 84, 0, 0, 0, 0, 
sub_4051b0, 0, 1, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 2, 0, 0, 18, 3, 28, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 
sub_405390, 0, 155, 47, 17, 49, 5, 71, 0, 12, 0, 36, 0, 0, 7, 0, 0, 0, 0, 0, 0, 417, 64, 222, 6, 0, 6, 0, 1, 254, 0.23943661971830985, 0.6901408450704225, 0.07042253521126761, 1.0, 0.0, 0.0, 43, 19, 0, 1391, 6, 0, 3, 0, 
sub_409270, 0, 30, 1, 0, 7, 0, 7, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 82, 17, 20, 0, 0, 0, 0, 0, 16, 0.0, 1.0, 0.0, 0, 0, 0, 17, 10, 0, 220, 0, 0, 0, 0, 
sub_405ae0, 0, 4, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 21, 4, 20, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 66, 0, 0, 0, 0, 
sub_407c60, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 22, 0, 0, 0, 0, 
sub_412e60, 0, 16, 4, 0, 8, 0, 8, 0, 1, 0, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 73, 13, 28, 0, 1, 1, 0, 1, 43, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 10, 13, 0, 237, 0, 0, 0, 0, 
sub_406f80, 0, 12, 0, 0, 4, 0, 4, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 35, 7, 15, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.0, 0, 0, 0, 4, 9, 0, 120, 0, 0, 0, 0, 
sub_40a620, 0, 188, 24, 0, 80, 10, 90, 0, 10, 0, 48, 0, 0, 8, 0, 0, 0, 4, 0, 0, 582, 72, 201, 5, 0, 10, 5, 2, 614, 0.0, 0.8888888888888888, 0.1111111111111111, 0.5, 0.0, 0.5, 42, 244, 0, 2829, 5, 0, 1, 0, 
sub_408f70, 0, 23, 8, 0, 12, 0, 12, 0, 12, 0, 6, 0, 0, 5, 0, 0, 0, 3, 0, 0, 115, 22, 33, 0, 0, 2, 2, 2, 63, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 35, 14, 0, 409, 0, 0, 0, 0, 
sub_407220, 0, 3, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 5, 14, 0, 0, 0, 0, 0, 3, 0.0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 
sub_40e000, 0, 35, 0, 0, 9, 0, 9, 0, 1, 0, 3, 0, 0, 4, 0, 0, 0, 1, 0, 0, 116, 24, 19, 0, 0, 0, 0, 0, 33, 0.0, 1.0, 0.0, 0, 0, 0, 6, 29, 0, 320, 0, 0, 0, 0, 
