_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_404120, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 9, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 16, 0, 0, 0, 0, 
sub_406790, 0, 74, 1, 0, 47, 4, 51, 0, 0, 0, 32, 0, 0, 13, 0, 0, 0, 3, 0, 0, 282, 36, 55, 0, 0, 2, 2, 2, 211, 0.0, 0.9215686274509803, 0.0784313725490196, 0.0, 0.0, 1.0, 64, 20, 0, 1092, 5, 0, 3, 0, 
sub_406450, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 
sub_407d70, 0, 18, 0, 0, 3, 0, 3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 54, 14, 12, 0, 0, 2, 2, 1, 13, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8, 4, 0, 139, 0, 0, 0, 0, 
sub_407930, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 33, 0, 0, 0, 0, 
sub_402ea0, 0, 12, 10, 0, 6, 2, 8, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 51, 8, 14, 1, 0, 2, 1, 2, 36, 0.0, 0.75, 0.25, 0.5, 0.0, 0.5, 0, 0, 0, 143, 0, 0, 0, 0, 
sub_402410, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 23, 5, 8, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 7, 0, 0, 64, 0, 0, 0, 0, 
sub_406700, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 
sub_4064f0, 0, 6, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 22, 6, 20, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 
sub_402020, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 2, 9, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 
sub_406330, 0, 11, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 47, 8, 8, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 7, 0, 98, 0, 0, 0, 0, 
sub_402100, 0, 29, 0, 0, 10, 0, 10, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 125, 29, 36, 0, 0, 2, 2, 2, 34, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6, 2, 0.0, 387, 0, 0, 0, 0, 
