_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_406260, 0, 2, 4, 0, 3, 0, 3, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 22, 2, 15, 0, 0, 0, 0, 0, 9, 0.0, 1.0, 0.0, 0, 0, 0, 0, 4, 0, 55, 0, 0, 0, 0, 
sub_40239b, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 1, 6, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 16, 0, 0, 0, 0, 
sub_406150, 0, 1, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 2, 0, 0, 18, 3, 28, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 
sub_406790, 0, 7, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 35, 9, 7, 0, 0, 1, 1, 1, 4, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 2, 0, 74, 0, 0, 0, 0, 
sub_406450, 0, 29, 27, 0, 14, 1, 15, 0, 22, 0, 25, 0, 0, 3, 0, 0, 0, 0, 0, 0, 124, 18, 149, 0, 1, 1, 0, 1, 161, 0.0, 0.9333333333333333, 0.06666666666666667, 0.0, 1.0, 0.0, 53, 48, 0, 731, 1, 0, 0, 0, 
sub_4052c0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 10, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 1.0, 0, 0, 0, 2, 0, 0, 15, 0, 0, 0, 0, 
sub_402820, 0, 24, 8, 0, 17, 0, 17, 0, 2, 0, 63, 0, 0, 4, 0, 0, 0, 0, 0, 0, 133, 20, 299, 0, 0, 1, 1, 1, 203, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 26, 51, 0, 770, 0, 0, 0, 0, 
sub_406700, 0, 13, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 48, 8, 11, 0, 0, 0, 0, 0, 14, 0.0, 1.0, 0.0, 0, 0, 0, 9, 2, 0, 130, 0, 0, 0, 0, 
sub_406ec0, 0, 164, 79, 0, 83, 1, 84, 0, 16, 0, 54, 0, 0, 7, 0, 0, 0, 5, 0, 0, 600, 64, 268, 1, 1, 3, 1, 2, 765, 0.0, 0.9880952380952381, 0.011904761904761904, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 135, 281, 0, 3331, 6, 0, 9, 0, 
sub_406940, 0, 9, 0, 0, 7, 0, 7, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 41, 6, 13, 0, 0, 0, 0, 0, 19, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 
