_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_403250, 0, 479, 89, 311, 119, 3, 433, 0, 37, 0, 28, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1036, 92, 143, 4, 0, 8, 4, 4, 555, 0.7182448036951501, 0.2748267898383372, 0.006928406466512702, 0.5, 0.0, 0.5, 75, 3, 0, 3974, 17, 0, 0, 0, 
sub_405350, 0, 1, 0, 0, 4, 0, 4, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 23, 3, 9, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 
sub_4059c0, 0, 4, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 21, 4, 20, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 66, 0, 0, 0, 0, 
sub_4051b0, 0, 20, 0, 0, 4, 0, 4, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 57, 18, 21, 0, 0, 1, 1, 1, 12, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3, 0, 0, 127, 1, 0, 0, 0, 
sub_406c70, 0, 8, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 32, 9, 7, 1, 0, 1, 0, 1, 4, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5, 2, 0, 73, 0, 0, 0, 0, 
sub_406940, 0, 22, 3, 0, 8, 2, 10, 0, 2, 0, 9, 0, 0, 3, 0, 0, 0, 0, 0, 0, 68, 15, 61, 0, 0, 1, 1, 1, 47, 0.0, 0.8, 0.2, 0.0, 0.0, 1.0, 9, 1, 0.0, 256, 0, 0, 0, 0, 
sub_405580, 0, 101, 24, 17, 32, 1, 50, 0, 11, 0, 42, 0, 0, 8, 0, 0, 0, 11, 0, 0, 293, 48, 258, 5, 1, 6, 0, 1, 193, 0.34, 0.64, 0.02, 0.8333333333333334, 0.16666666666666666, 0.0, 49, 9, 0, 1038, 6, 0, 2, 0, 
sub_406ae0, 0, 12, 0, 0, 7, 0, 7, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 57, 8, 10, 0, 0, 1, 1, 1, 14, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 7, 0, 140, 0, 0, 0, 0, 
sub_404680, 0, 6, 11, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 30, 0, 0, 0, 0, 0, 23, 0.0, 0.0, 1.0, 0, 0, 0, 4, 0, 0, 94, 0, 0, 0, 0, 
main_401990, 0, 18, 2, 0, 13, 0, 13, 0, 1, 0, 6, 0, 0, 3, 0, 0, 0, 0, 0, 0, 100, 16, 31, 0, 1, 2, 1, 2, 33, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 5, 0, 0, 257, 0, 0, 0, 0, 
sub_402430, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 4, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 
sub_4067b0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 33, 0, 0, 0, 0, 
