_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_409d20, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 25, 9, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 
sub_402d30, 0, 12, 0, 0, 7, 0, 7, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 57, 8, 10, 0, 0, 1, 1, 1, 14, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 7, 0, 140, 0, 0, 0, 0, 
sub_408100, 0, 48, 10, 0, 19, 0, 19, 0, 19, 0, 7, 0, 0, 4, 0, 0, 0, 0, 0, 0, 157, 34, 43, 1, 0, 2, 1, 2, 89, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 30, 14, 0, 571, 2, 0, 1, 0, 
sub_4083b0, 0, 5, 0, 0, 4, 1, 5, 0, 2, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 27, 5, 25, 0, 0, 0, 0, 0, 14, 0.0, 0.8, 0.2, 0, 0, 0, 9, 0, 0, 96, 0, 0, 0, 0, 
sub_408000, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 3, 6, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 
sub_410ef8, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 3, 6, 0, 0, 1, 1, 1, 1, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 1, 0, 37, 0, 0, 0, 0, 
sub_40a670, 0, 1, 0, 0, 4, 0, 4, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 23, 3, 9, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 
sub_40a470, 0, 11, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 47, 8, 8, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 7, 0, 98, 0, 0, 0, 0, 
sub_403a10, 0, 17, 0, 0, 14, 0, 14, 0, 0, 0, 35, 0, 0, 2, 0, 0, 0, 0, 0, 0, 116, 7, 141, 0, 0, 0, 0, 0, 216, 0.0, 1.0, 0.0, 0, 0, 0, 0, 112, 0, 835, 0, 0, 0, 0, 
sub_40a8a0, 0, 26, 0, 0, 4, 0, 4, 0, 4, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 73, 17, 17, 2, 1, 4, 1, 3, 55, 0.0, 1.0, 0.0, 0.5, 0.25, 0.25, 10, 15, 0, 307, 0, 0, 0, 0, 
