_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
sub_409090, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 3, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 24, 0, 0, 0, 0, 
sub_4053a0, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 3, 6, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 
sub_4038b0, 0, 69, 25, 0, 49, 0, 49, 0, 11, 0, 43, 0, 0, 4, 0, 0, 0, 0, 0, 0, 285, 28, 245, 0, 0, 1, 1, 1, 282, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 28, 9, 0.0, 1314, 4, 0, 15, 0, 
sub_404c00, 0, 34, 1, 0, 12, 0, 12, 0, 0, 0, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 115, 19, 24, 2, 0, 3, 1, 2, 54, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 16, 9, 0, 363, 1, 0, 0, 0, 
sub_4066f0, 0, 256, 239, 0, 151, 0, 151, 0, 174, 0, 81, 0, 0, 11, 0, 0, 0, 0, 0, 0, 878, 104, 168, 0, 0, 4, 4, 2, 961, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 164, 73, 0, 4200, 13, 0, 17, 0, 
sub_40b9c0, 0, 10, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 36, 6, 9, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 4, 13, 0, 94, 0, 0, 0, 0, 
sub_4090e0, 0, 44, 0, 11, 2, 0, 13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 120, 26, 16, 0, 0, 0, 0, 0, 1, 0.8461538461538461, 0.15384615384615385, 0.0, 0, 0, 0, 48, 32, 0, 496, 0, 0, 0, 0, 
sub_409ec0, 0, 3, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 28, 2, 10, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.0, 0, 0, 0, 0, 9, 0, 56, 0, 0, 0, 0, 
sub_4059e0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_404e60, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 20, 3, 9, 1, 0, 1, 0, 1, 5, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 1, 0, 50, 0, 0, 0, 0, 
