_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
FUN_00401b45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
FUN_00401b4a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
FUN_00401b4f, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
FUN_00401b54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
FUN_00401b60, 0, 158, 7, 0, 91, 0, 91, 0, 3, 1, 6, 0, 44, 6, 2, 0, 0, 0, 0, 0, 456, 27, 18, 4, 0, 8, 4, 3, 159, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 48, 25, 0, 1857, 9, 0, 0, 0, 
FUN_004028d0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 9, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1.0, 0.0, 0.0, 2, 0, 0, 28, 6, 0, 0, 0, 
FUN_004028fb, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
FUN_0040291a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
FUN_00402951, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 9, 0, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 
thunk_4029a8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
FUN_004029b0, 0, 34, 0, 0, 12, 0, 12, 0, 1, 1, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 87, 18, 18, 1, 0, 1, 0, 1, 40, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 12, 2, 0.0, 353, 3, 0, 0, 0, 
FUN_00402af0, 0, 17, 0, 0, 7, 0, 7, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 45, 7, 18, 1, 0, 1, 0, 1, 19, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 6, 0, 0.0, 162, 2, 0, 0, 0, 
FUN_00402bd0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 
FUN_00402c00, 0, 465, 50, 24, 130, 0, 154, 0, 240, 0, 4, 0, 44, 8, 4, 0, 0, 0, 0, 0, 971, 59, 18, 10, 1, 14, 3, 2, 485, 0.15584415584415584, 0.8441558441558441, 0.0, 0.7142857142857143, 0.07142857142857142, 0.21428571428571427, 223, 36, 0.0, 4566, 89, 0, 0, 0, 
FUN_004041a0, 0, 31, 3, 0, 18, 0, 18, 0, 2, 0, 2, 0, 6, 4, 2, 0, 0, 0, 0, 0, 86, 9, 17, 2, 0, 4, 2, 2, 33, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 14, 6, 0, 302, 2, 0, 0, 0, 
FUN_00404360, 0, 105, 1, 0, 10, 0, 10, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 248, 25, 75, 2, 0, 2, 0, 2, 24, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 6, 0.0, 981, 5, 0, 0, 0, 
FUN_00404a10, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 2, 11, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 37, 0, 0, 0, 0, 
FUN_00404a30, 0, 10, 3, 0, 7, 0, 7, 0, 0, 0, 2, 0, 1, 4, 0, 0, 0, 0, 0, 0, 32, 2, 13, 0, 0, 0, 0, 0, 16, 0.0, 1.0, 0.0, 0, 0, 0, 1, 1, 0, 101, 4, 0, 0, 0, 
FUN_00404b00, 0, 96, 11, 0, 47, 0, 47, 0, 3, 0, 5, 0, 16, 7, 3, 0, 0, 0, 0, 0, 255, 24, 20, 6, 0, 7, 1, 4, 108, 0.0, 1.0, 0.0, 0.8571428571428571, 0.0, 0.14285714285714285, 18, 10, 0, 928, 5, 0, 0, 0, 
FUN_004050a0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 
FUN_004050e0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 
FUN_004050f0, 0, 23, 0, 0, 9, 0, 9, 0, 3, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 59, 9, 14, 1, 0, 1, 0, 1, 17, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 2, 0.0, 200, 0, 0, 0, 0, 
FUN_00405210, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 3, 11, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 57, 5, 0, 0, 0, 
