_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401f00, 0, 199, 6, 0, 102, 1, 103, 0, 6, 0, 2, 0.0, 46, 4, 10, 0, 0, 0, 0, 0, 731, 114, 17, 4, 0, 15, 11, 2, 209, 0.0, 0.9902912621359223, 0.009708737864077669, 0.26666666666666666, 0.0, 0.7333333333333333, 85, 25, 0.0, 2424, 2, 0, 0, 0, 
sub_402D9B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_402DBA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_402DF1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_402E48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_402E50, 0, 6, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 25, 6, 8, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 2, 2, 0, 77, 0, 0, 0, 0, 
sub_402F10, 0, 9, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0.0, 1, 3, 1, 0, 0, 0, 0, 0, 41, 5, 10, 1, 0, 2, 1, 2, 5, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 1, 0, 0, 95, 0, 0, 0, 0, 
sub_402FB0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 1, 5, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 31, 0, 0, 0, 0, 
sub_403000, 0, 13, 2, 0, 6, 0, 6, 0, 1, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 52, 10, 12, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.0, 0, 0, 0, 10, 1, 0, 190, 0, 0, 0, 0, 
sub_403190, 0, 11, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 32, 6, 10, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 6, 0, 0, 106, 0, 0, 0, 0, 
sub_403260, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 6, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 
sub_403290, 0, 7, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 29, 9, 13, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 
sub_403340, 0, 26, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 44, 8, 12, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 13, 13, 0, 171, 0, 0, 0, 0, 
sub_403430, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 2, 8, 1, 0, 1, 0, 1, 0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5, 1, 0, 52, 0, 0, 0, 0, 
sub_403480, 0, 6, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 4, 10, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 6, 0, 0, 73, 0, 0, 0, 0, 
sub_403510, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 
sub_403540, 0, 18, 1, 0, 6, 0, 6, 0, 0, 0, 2, 0, 3, 3, 0, 0, 0, 0, 0, 0, 52, 5, 12, 0, 0, 0, 0, 0, 17, 0.0, 1.0, 0.0, 0, 0, 0, 5, 0, 0, 146, 0, 0, 0, 0, 
sub_403630, 0, 55, 2, 0, 18, 0, 18, 0, 0, 0, 2, 0.0, 2, 2, 2, 0, 0, 0, 0, 0, 151, 21, 17, 0, 0, 3, 3, 1, 61, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 27, 0, 0, 560, 0, 0, 0, 0, 
sub_403960, 0, 15, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 43, 7, 12, 0, 0, 0, 0, 0, 14, 0.0, 1.0, 0.0, 0, 0, 0, 3, 10, 0, 152, 0, 0, 0, 0, 
sub_403A40, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 2, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 29, 0, 0, 0, 0, 
sub_403A70, 0, 6, 0, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 31, 7, 24, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 105, 0, 0, 0, 0, 
sub_403B30, 0, 11, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 36, 5, 16, 0, 1, 2, 1, 1, 17, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 1, 6, 0, 133, 0, 0, 0, 0, 
sub_403C10, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 2, 8, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 54, 0, 0, 0, 0, 
sub_403C80, 0, 48, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 147, 32, 17, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 15, 0.6666666666666666, 498, 0, 0, 0, 0, 
sub_404060, 0, 6, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 34, 6, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 92, 0, 0, 0, 0, 
