_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401bd0, 0, 14, 0, 0, 9, 0, 9, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 81, 10, 14, 0, 0, 0, 0, 0, 9, 0.0, 1.0, 0.0, 0, 0, 0, 9, 4, 0.0, 248, 0, 0, 0, 0, 
sub_401DBB, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_401DDA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_401E11, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_401E68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_401E70, 0, 6, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 3, 10, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 5, 0, 0, 51, 0, 0, 0, 0, 
sub_401EB0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 2, 12, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 1.0, 42, 0, 0, 0, 0, 
sub_401EE0, 0, 17, 7, 0, 8, 0, 8, 0, 1, 0, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 66, 13, 13, 0, 0, 0, 0, 0, 25, 0.0, 1.0, 0.0, 0, 0, 0, 8, 14, 0, 213, 0, 0, 0, 0, 
sub_401FD0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 3, 12, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 48, 0, 0, 0, 0, 
sub_402020, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 8, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 1, 0, 24, 0, 0, 0, 0, 
sub_402050, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 10, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 36, 0, 0, 0, 0, 
sub_402090, 0, 5, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 27, 4, 10, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 10, 1, 0, 83, 0, 0, 0, 0, 
sub_4020F0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
sub_402110, 0, 3, 0, 0, 5, 0, 5, 0, 1, 0, 0, 0.0, 1, 1, 0, 0, 0, 0, 0, 0, 27, 2, 11, 0, 0, 1, 1, 1, 10, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10, 1, 0, 103, 0, 0, 0, 0, 
sub_4021D0, 0, 5, 0, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 20, 3, 13, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 5, 0, 0, 61, 0, 0, 0, 0, 
sub_402220, 0, 56, 0, 0, 8, 0, 8, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 200, 37, 16, 1, 0, 1, 0, 1, 13, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5, 18, 0.6666666666666666, 576, 0, 0, 0, 0, 
