_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401a80, 0, 11, 2, 0, 8, 0, 8, 0, 0, 0, 0, 0.0, 0, 2, 1, 0, 0, 0, 0, 0, 70, 7, 11, 1, 0, 3, 2, 1, 12, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 4, 1, 0, 213, 0, 0, 0, 0, 
sub_401C6B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_401C8A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_401CC1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_401D18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_401D20, 0, 9, 7, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 31, 4, 11, 0, 0, 1, 1, 1, 12, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 79, 0, 0, 0, 0, 
sub_401D80, 0, 23, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0.3333333333333333, 5, 3, 2, 0, 0, 0, 0, 0, 66, 10, 18, 0, 1, 2, 1, 1, 46, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 11, 2, 0, 241, 0, 0, 0, 0, 
sub_401E60, 0, 10, 7, 0, 4, 0, 4, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 38, 4, 14, 1, 0, 2, 1, 2, 23, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0, 0, 0, 107, 0, 0, 0, 0, 
sub_401ED0, 0, 8, 1, 0, 4, 0, 4, 0, 1, 0, 4, 0.0, 0, 2, 1, 0, 0, 0, 0, 0, 38, 7, 14, 0, 0, 1, 1, 1, 22, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 0, 0, 121, 0, 0, 0, 0, 
sub_401F60, 0, 6, 6, 0, 4, 0, 4, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 40, 4, 23, 0, 0, 0, 0, 0, 50, 0.0, 1.0, 0.0, 0, 0, 0, 7, 0, 0, 215, 0, 0, 0, 0, 
