_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402dd0, 0, 72, 5, 0, 42, 0, 42, 0, 0, 0, 0, 0.5, 17, 4, 3, 0, 0, 0, 0, 0, 311, 48, 14, 3, 0, 6, 3, 4, 46, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 17, 12, 0, 891, 0, 0, 0, 0, 
sub_40345B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_40347A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_4034B1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_403508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_403510, 0, 15, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 54, 15, 12, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 5, 3, 0, 162, 0, 0, 0, 0, 
sub_403620, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 3, 12, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 
sub_4036B0, 0, 51, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 175, 40, 17, 1, 0, 1, 0, 1, 11, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 15, 0.6666666666666666, 538, 0, 0, 0, 0, 
sub_403A80, 0, 19, 1, 0, 18, 0, 18, 0, 0, 0, 2, 0, 7, 5, 0, 0, 0, 0, 0, 0, 92, 14, 21, 0, 1, 1, 0, 1, 31, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 20, 5, 0, 343, 0, 0, 0, 0, 
sub_403C90, 0, 10, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 28, 4, 11, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 2, 5, 0, 86, 0, 0, 0, 0, 
sub_403D00, 0, 45, 2, 0, 31, 1, 32, 0, 0, 0, 2, 0, 16, 3, 1, 0, 0, 0, 0, 0, 186, 26, 16, 0, 0, 1, 1, 1, 43, 0.0, 0.96875, 0.03125, 0.0, 0.0, 1.0, 19, 13, 0, 599, 0, 0, 0, 0, 
sub_4041B0, 0, 66, 1, 12, 30, 1, 43, 0, 3, 0, 5, 0, 14, 3, 2, 0, 0, 0, 0, 0, 265, 48, 24, 0, 3, 6, 3, 3, 81, 0.27906976744186046, 0.6976744186046512, 0.023255813953488372, 0.0, 0.5, 0.5, 38, 22, 1.0, 1060, 0, 0, 0, 0, 
sub_404890, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 
sub_4048E0, 0, 9, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 36, 4, 8, 0, 0, 1, 1, 1, 6, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 0, 0, 80, 0, 0, 0, 0, 
sub_404990, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 2, 16, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 41, 0, 0, 0, 0, 
sub_4049D0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 11, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 
sub_4049F0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 38, 0, 0, 0, 0, 
sub_404A30, 0, 8, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 28, 5, 10, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 1, 3, 0, 104, 0, 0, 0, 0, 
sub_404AE0, 0, 7, 1, 0, 3, 0, 3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 31, 6, 19, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 4, 1, 0, 134, 0, 0, 0, 0, 
sub_404C10, 0, 9, 2, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 37, 8, 16, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 124, 0, 0, 0, 0, 
sub_404D20, 0, 9, 0, 0, 3, 0, 3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 29, 7, 13, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 97, 0, 0, 0, 0, 
sub_404DE0, 0, 84, 7, 0, 26, 0, 26, 0, 0, 0, 2, 0.0, 13, 3, 2, 0, 0, 0, 0, 0, 236, 38, 15, 1, 0, 3, 2, 1, 56, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 8, 0, 0, 609, 0, 0, 0, 0, 
