_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401d40, 0, 132, 0, 30, 37, 0, 67, 0, 0, 0, 4, 0.3333333333333333, 14, 4, 2, 0, 0, 0, 0, 0, 391, 42, 23, 2, 0, 4, 2, 2, 49, 0.44776119402985076, 0.5522388059701493, 0.0, 0.5, 0.0, 0.5, 10, 6, 0, 1101, 0, 0, 0, 0, 
sub_4025FB, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_40261A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_402651, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_4026A8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_4026B0, 0, 5, 0, 0, 2, 0, 2, 0, 1, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 19, 2, 19, 1, 0, 1, 0, 1, 13, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 3, 0, 70, 0, 0, 0, 0, 
sub_402710, 0, 12, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 36, 5, 16, 1, 0, 1, 0, 1, 12, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2, 2, 0, 101, 0, 0, 0, 0, 
sub_402790, 0, 8, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 20, 2, 11, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 64, 0, 0, 0, 0, 
sub_4027F0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 
sub_402820, 0, 6, 1, 0, 6, 0, 6, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 30, 4, 11, 0, 0, 0, 0, 0, 10, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 94, 0, 0, 0, 0, 
sub_402920, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 2, 9, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 
sub_402950, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 
sub_4029A0, 0, 13, 1, 0, 6, 0, 6, 0, 3, 0, 2, 0.0, 1, 1, 0, 0, 0, 0, 0, 0, 53, 8, 16, 1, 0, 1, 0, 1, 22, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 12, 1, 0, 204, 0, 0, 0, 0, 
sub_402AB0, 0, 19, 0, 0, 8, 0, 8, 0, 1, 0, 2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 67, 13, 12, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 4, 7, 1.0, 232, 0, 0, 0, 0, 
sub_402CA0, 0, 6, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 27, 2, 6, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 3, 0, 58, 0, 0, 0, 0, 
sub_402D10, 0, 17, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 50, 6, 10, 0, 0, 2, 2, 1, 18, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 6, 0, 151, 0, 0, 0, 0, 
sub_402DD0, 0, 19, 0, 0, 11, 0, 11, 0, 0, 0, 0, 0.3333333333333333, 1, 2, 2, 0, 0, 0, 0, 0, 70, 8, 8, 0, 0, 3, 3, 3, 22, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3, 3, 0, 176, 0, 0, 0, 0, 
sub_402EE0, 0, 7, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 28, 5, 11, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 
sub_402FE0, 0, 41, 13, 0, 15, 0, 15, 0, 0, 0, 0, 1.0, 11, 4, 0, 0, 0, 0, 0, 0, 121, 10, 15, 1, 0, 1, 0, 1, 40, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 8, 8, 0, 330, 0, 0, 0, 0, 
sub_4031E0, 0, 5, 1, 0, 7, 0, 7, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 33, 1, 8, 0, 0, 0, 0, 0, 10, 0.0, 1.0, 0.0, 0, 0, 0, 2, 4, 0, 88, 0, 0, 0, 0, 
sub_403280, 0, 18, 0, 0, 9, 0, 9, 0, 2, 0, 0, 1.0, 0, 3, 0, 0, 0, 0, 0, 0, 61, 10, 16, 1, 0, 2, 1, 1, 24, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 7, 7, 0, 210, 0, 0, 0, 0, 
