_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401940, 0, 212, 21, 0, 125, 1, 126, 0, 3, 0, 3, 0.4, 57, 5, 4, 0, 0, 0, 0, 0, 804, 102, 22, 8, 0, 14, 6, 5, 209, 0.0, 0.9920634920634921, 0.007936507936507936, 0.5714285714285714, 0.0, 0.42857142857142855, 49, 51, 0.0, 2286, 0, 0, 0, 0, 
sub_40289B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_4028BA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_4028F1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_402948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_402950, 0, 4, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 3, 10, 0, 0, 1, 1, 1, 8, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 1, 0, 62, 0, 0, 0, 0, 
sub_4029B0, 0, 11, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0.0, 0, 4, 0, 0, 0, 0, 0, 0, 49, 5, 9, 1, 0, 1, 0, 1, 18, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 6, 0, 0, 124, 0, 0, 0, 0, 
sub_402A40, 0, 5, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0.0, 0, 3, 1, 0, 0, 0, 0, 0, 42, 3, 9, 0, 0, 1, 1, 1, 6, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 3, 0, 98, 0, 0, 0, 0, 
sub_402AF0, 0, 17, 0, 0, 8, 0, 8, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 69, 16, 12, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 6, 0, 1.0, 219, 0, 0, 0, 0, 
sub_402C90, 0, 49, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 140, 31, 18, 1, 0, 1, 0, 1, 11, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 15, 0.6666666666666666, 516, 0, 0, 0, 0, 
