_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402f50, 0, 565, 70, 35, 210, 0, 245, 0, 39, 0, 8, 0.25, 72, 7, 17, 0, 0, 0, 0, 0, 1769, 271, 28, 5, 3, 33, 25, 3, 545, 0.14285714285714285, 0.8571428571428571, 0.0, 0.15151515151515152, 0.09090909090909091, 0.7575757575757576, 296, 206, 0.0, 6675, 0, 0, 0, 0, 
sub_40585B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_40587A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_4058B1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_405908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_405910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 10, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 15, 0, 0, 0, 0, 
sub_405920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 15, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 20, 0, 0, 0, 0, 
sub_405930, 0, 21, 0, 0, 9, 0, 9, 0, 1, 0, 0, 0.0, 1, 2, 2, 0, 0, 0, 0, 0, 64, 8, 11, 0, 0, 2, 2, 1, 15, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 7, 3, 0, 167, 0, 0, 0, 0, 
sub_4059F0, 0, 5, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 18, 4, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 6, 3, 0, 63, 0, 0, 0, 0, 
sub_405A40, 0, 13, 2, 0, 8, 0, 8, 0, 0, 0, 0, 0.0, 4, 1, 2, 0, 0, 0, 0, 0, 58, 9, 9, 0, 0, 3, 3, 1, 17, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 9, 7, 0, 157, 0, 0, 0, 0, 
sub_405AF0, 0, 3, 2, 0, 5, 0, 5, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 23, 1, 19, 0, 0, 0, 0, 0, 18, 0.0, 1.0, 0.0, 0, 0, 0, 8, 0, 0, 95, 0, 0, 0, 0, 
sub_405B50, 0, 14, 0, 0, 11, 0, 11, 0, 0, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 32, 1, 10, 0, 0, 0, 0, 0, 24, 0.0, 1.0, 0.0, 0, 0, 0, 23, 0, 0, 162, 0, 0, 0, 0, 
sub_405C00, 0, 16, 1, 12, 5, 0, 17, 0, 0, 0, 0, 0.0, 10, 2, 0, 0, 0, 0, 0, 0, 62, 3, 10, 0, 0, 1, 1, 1, 20, 0.7058823529411765, 0.29411764705882354, 0.0, 0.0, 0.0, 1.0, 17, 0, 0, 197, 0, 0, 0, 0, 
compar_405cf0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0.0, 18, 0, 0, 0, 0, 
sub_405D00, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 
sub_405D30, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 
sub_405D80, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 1, 8, 1, 0, 1, 0, 1, 1, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 0, 0, 44, 0, 0, 0, 0, 
sub_405DD0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 17, 3, 16, 0, 0, 1, 1, 1, 1, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 0, 0, 61, 0, 0, 0, 0, 
sub_405E30, 0, 11, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 26, 4, 11, 0, 0, 1, 1, 1, 11, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 7, 0, 0, 108, 0, 0, 0, 0, 
sub_405EB0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 2, 8, 1, 0, 1, 0, 1, 5, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 0, 0, 39, 0, 0, 0, 0, 
sub_405EF0, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 26, 7, 13, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 103, 0, 0, 0, 0, 
sub_405FB0, 0, 15, 2, 0, 6, 0, 6, 0, 0, 0, 0, 0.0, 0, 3, 0, 0, 0, 0, 0, 0, 51, 14, 10, 0, 0, 0, 0, 0, 11, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 167, 0, 0, 0, 0, 
sub_4060A0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 2, 9, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 1, 0, 39, 0, 0, 0, 0, 
sub_4060D0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 2, 11, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 
sub_406190, 0, 7, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 4, 20, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 66, 0, 0, 0, 0, 
sub_4061F0, 0, 34, 4, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 60, 10, 17, 0, 0, 1, 1, 1, 39, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 19, 0, 0, 284, 0, 0, 0, 0, 
sub_406320, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 47, 0, 0, 0, 0, 
sub_406360, 0, 11, 0, 0, 17, 0, 17, 0, 0, 0, 0, 0.0, 9, 3, 0, 0, 0, 0, 0, 0, 91, 9, 11, 3, 0, 6, 3, 3, 30, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 10, 8, 0, 242, 0, 0, 0, 0, 
sub_406470, 0, 11, 1, 0, 17, 0, 17, 0, 0, 0, 2, 0.0, 3, 5, 0, 0, 0, 0, 0, 0, 93, 7, 14, 3, 0, 6, 3, 3, 39, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 8, 4, 0, 246, 0, 0, 0, 0, 
sub_4065B0, 0, 260, 5, 0, 101, 0, 101, 0, 9, 0, 4, 0.2222222222222222, 54, 4, 6, 0, 0, 0, 0, 0, 767, 125, 21, 1, 3, 15, 11, 3, 192, 0.0, 1.0, 0.0, 0.06666666666666667, 0.2, 0.7333333333333333, 85, 38, 0, 2368, 0, 0, 0, 0, 
