_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401ea0, 0, 455, 12, 7, 189, 0, 196, 0, 6, 0, 4, 0.1, 90, 9, 11, 0, 0, 0, 0, 0, 1359, 200, 20, 2, 3, 17, 12, 4, 338, 0.03571428571428571, 0.9642857142857143, 0.0, 0.11764705882352941, 0.17647058823529413, 0.7058823529411765, 86, 32, 0.3333333333333333, 4352, 0, 0, 0, 0, 
sub_403C0B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_403C2A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_403C61, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_403CB8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_403CC0, 0, 64, 0, 0, 16, 0, 16, 0, 2, 0, 0, 0.5, 5, 3, 1, 0, 0, 0, 0, 0, 158, 32, 14, 1, 0, 2, 1, 1, 35, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 14, 11, 0, 502, 0, 0, 0, 0, 
sub_403FC0, 0, 60, 4, 0, 25, 0, 25, 0, 0, 0, 2, 0.0, 16, 3, 1, 0, 0, 0, 0, 0, 210, 43, 16, 0, 0, 2, 2, 2, 31, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 17, 13, 0, 774, 0, 0, 0, 0, 
sub_404500, 0, 35, 0, 0, 13, 0, 13, 0, 2, 0, 0, 0, 5, 2, 2, 0, 0, 0, 0, 0, 107, 23, 16, 0, 0, 2, 2, 2, 27, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 19, 1, 0, 389, 0, 0, 0, 0, 
sub_4046F0, 0, 28, 3, 0, 20, 0, 20, 0, 0, 0, 2, 0.0, 6, 3, 0, 0, 0, 0, 0, 0, 131, 23, 13, 0, 0, 1, 1, 1, 29, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10, 0, 0, 409, 0, 0, 0, 0, 
sub_4049A0, 0, 9, 1, 0, 6, 0, 6, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 46, 12, 11, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 155, 0, 0, 0, 0, 
