_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402390, 0, 55, 7, 4, 28, 0, 32, 0, 1, 0, 0, 0.0, 6, 5, 2, 0, 0, 0, 0, 0, 214, 30, 19, 0, 0, 2, 2, 1, 28, 0.125, 0.875, 0.0, 0.0, 0.0, 1.0, 19, 7, 1.0, 643, 0, 0, 0, 0, 
sub_4028CB, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_4028EA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_402921, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_402978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_402980, 0, 11, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0.6666666666666666, 0, 3, 2, 0, 0, 0, 0, 0, 41, 7, 14, 0, 0, 2, 2, 1, 14, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 3, 0, 141, 0, 0, 0, 0, 
sub_402A30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 
sub_402A70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 
sub_402AB0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 
sub_402AF0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 
sub_402B30, 0, 128, 2, 13, 170, 0, 183, 0, 1, 0, 0, 0, 34, 8, 0, 0, 0, 0, 0, 0, 657, 4, 23, 0, 0, 0, 0, 0, 173, 0.07103825136612021, 0.9289617486338798, 0.0, 0, 0, 0, 21, 3, 0, 1416, 1, 0, 0, 0, 
sub_4037B0, 0, 96, 3, 11, 36, 0, 47, 0, 0, 0, 0, 0.8, 11, 6, 2, 0, 0, 0, 0, 0, 298, 38, 12, 0, 0, 2, 2, 2, 89, 0.23404255319148937, 0.7659574468085106, 0.0, 0.0, 0.0, 1.0, 19, 30, 0, 902, 0, 0, 0, 0, 
sub_403CA0, 0, 8, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 31, 8, 12, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 94, 0, 0, 0, 0, 
sub_403D70, 0, 7, 1, 0, 7, 0, 7, 0, 0, 0, 5, 0, 0, 2, 1, 0, 0, 0, 0, 0, 44, 6, 13, 0, 0, 1, 1, 1, 18, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10, 4, 1.0, 161, 0, 0, 0, 0, 
sub_403E80, 0, 11, 0, 0, 6, 0, 6, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 63, 19, 19, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 
sub_403F90, 0, 50, 0, 0, 20, 0, 20, 0, 3, 0, 3, 0.25, 7, 7, 0, 0, 0, 0, 0, 0, 156, 24, 26, 3, 0, 3, 0, 1, 52, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 11, 3, 0, 458, 0, 0, 0, 0, 
sub_4042E0, 0, 90, 8, 31, 12, 0, 43, 0, 3, 0, 2, 0, 12, 1, 0, 0, 0, 0, 0, 0, 265, 38, 16, 0, 0, 0, 0, 0, 48, 0.7209302325581395, 0.27906976744186046, 0.0, 0, 0, 0, 40, 4, 0, 1029, 0, 0, 0, 0, 
sub_404870, 0, 60, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 229, 42, 20, 1, 0, 1, 0, 1, 11, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2, 15, 0.6666666666666666, 631, 0, 0, 0, 0, 
sub_404D10, 0, 63, 1, 0, 8, 0, 8, 0, 0, 0, 2, 0, 5, 3, 0, 0, 0, 0, 0, 0, 151, 40, 13, 0, 0, 1, 1, 1, 21, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 54, 45, 0, 723, 0, 0, 0, 0, 
sub_405090, 0, 14, 0, 0, 7, 0, 7, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 52, 5, 9, 0, 0, 2, 2, 2, 10, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 1, 0, 139, 0, 0, 0, 0, 
sub_405180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 
sub_405190, 0, 18, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0.5, 2, 3, 1, 0, 0, 0, 0, 0, 61, 10, 14, 1, 0, 2, 1, 2, 12, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 3, 3, 0.0, 156, 0, 0, 0, 0, 
sub_4052B0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 3, 11, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 
sub_405330, 0, 17, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0.0, 1, 1, 0, 0, 0, 0, 0, 0, 48, 9, 10, 0, 1, 2, 1, 2, 9, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 2, 5, 0, 163, 0, 0, 0, 0, 
sub_405450, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 1, 19, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 
sub_4054C0, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 20, 2, 12, 1, 0, 1, 0, 1, 4, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 0, 0, 50, 0, 0, 0, 0, 
sub_405530, 0, 6, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 34, 6, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 92, 0, 0, 0, 0, 
sub_4055D0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 1, 6, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 
sub_4055F0, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 3, 11, 0, 0, 1, 1, 1, 14, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 1, 0, 69, 0, 0, 0, 0, 
sub_405650, 0, 8, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 22, 4, 11, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 1, 1, 0, 67, 0, 0, 0, 0, 
sub_4056B0, 0, 10, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 33, 4, 11, 1, 1, 3, 1, 2, 6, 0.0, 1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 7, 0, 0, 79, 0, 0, 0, 0, 
sub_405710, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 18, 2, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 42, 0, 0, 0, 0, 
sub_405740, 0, 1, 1, 8, 1, 0, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 27, 1, 11, 0, 0, 0, 0, 0, 3, 0.8888888888888888, 0.1111111111111111, 0.0, 0, 0, 0, 2, 0, 0, 105, 0, 0, 0, 0, 
sub_4059B0, 0, 30, 19, 0, 10, 6, 16, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 272, 9, 16, 0, 0, 0, 0, 0, 62, 0.0, 0.625, 0.375, 0, 0, 0, 13, 0, 0, 305, 0, 0, 0, 0, 
