_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401e10, 0, 43, 3, 4, 26, 0, 30, 0, 0, 0, 2, 1.0, 3, 6, 2, 0, 0, 0, 0, 0, 215, 27, 12, 0, 0, 2, 2, 1, 26, 0.13333333333333333, 0.8666666666666667, 0.0, 0.0, 0.0, 1.0, 33, 19, 0, 769, 0, 0, 0, 0, 
sub_40242B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_40244A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_402481, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_4024D8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
null_4024e0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 
sub_4024F0, 0, 12, 0, 0, 7, 0, 7, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 47, 10, 11, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 5, 8, 0, 155, 0, 0, 0, 0, 
sub_402620, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 3, 8, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 49, 0, 0, 0, 0, 
sub_402680, 0, 19, 0, 0, 10, 0, 10, 0, 0, 0, 2, 0, 2, 3, 0, 0, 0, 0, 0, 0, 69, 12, 12, 0, 0, 0, 0, 0, 13, 0.0, 1.0, 0.0, 0, 0, 0, 8, 0, 0, 228, 0, 0, 0, 0, 
sub_402850, 0, 49, 0, 0, 6, 0, 6, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 153, 32, 17, 1, 0, 1, 0, 1, 11, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 15, 0.6666666666666666, 505, 0, 0, 0, 0, 
sub_402BF0, 0, 4, 0, 0, 9, 0, 9, 0, 0, 0, 2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 36, 6, 14, 0, 0, 0, 0, 0, 13, 0.0, 1.0, 0.0, 0, 0, 0, 5, 1, 0, 117, 0, 0, 0, 0, 
