_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401df0, 0, 92, 11, 0, 60, 0, 60, 0, 3, 0, 5, 0.0, 22, 5, 2, 0, 0, 0, 0, 0, 364, 49, 19, 0, 0, 2, 2, 1, 84, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 39, 17, 1.0, 1117, 0, 0, 0, 0, 
sub_4026EB, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_40270A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_402741, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_402798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_4027A0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 3, 10, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 
sub_4027E0, 0, 46, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 145, 30, 17, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 15, 0.6666666666666666, 478, 0, 0, 0, 0, 
sub_402B80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 
sub_402B90, 0, 18, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0.5, 2, 3, 1, 0, 0, 0, 0, 0, 61, 10, 14, 1, 0, 2, 1, 2, 12, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 3, 3, 0.0, 156, 0, 0, 0, 0, 
sub_402CB0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 3, 11, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 
sub_402D30, 0, 17, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0.0, 1, 1, 0, 0, 0, 0, 0, 0, 48, 9, 10, 0, 1, 2, 1, 2, 9, 0.0, 1.0, 0.0, 0.0, 0.5, 0.5, 2, 5, 0, 163, 0, 0, 0, 0, 
sub_402E50, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 1, 19, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 
sub_402EC0, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 20, 2, 12, 1, 0, 1, 0, 1, 4, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 0, 0, 50, 0, 0, 0, 0, 
sub_402F30, 0, 6, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 34, 6, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 92, 0, 0, 0, 0, 
sub_402FD0, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 21, 6, 13, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 75, 0, 0, 0, 0, 
sub_403040, 0, 3, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 25, 1, 17, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 73, 0, 0, 0, 0, 
sub_4030D0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 2, 7, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 1, 5, 0, 54, 0, 0, 0, 0, 
sub_403110, 0, 24, 0, 0, 4, 0, 4, 0, 0, 0, 5, 0.0, 2, 2, 0, 0, 0, 0, 0, 0, 58, 5, 8, 0, 0, 0, 0, 0, 20, 0.0, 1.0, 0.0, 0, 0, 0, 1, 63, 0, 279, 0, 0, 0, 0, 
sub_403290, 0, 12, 2, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 30, 5, 19, 0, 0, 0, 0, 0, 23, 0.0, 1.0, 0.0, 0, 0, 0, 7, 0, 0, 139, 0, 0, 0, 0, 
sub_403390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 23, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 
sub_403400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 
sub_4034C0, 0, 2, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 27, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 10, 0, 84, 0, 0, 0, 0, 
sub_403530, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 11, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 22, 0, 0, 0, 0, 
sub_403570, 0, 14, 1, 0, 7, 0, 7, 0, 1, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 48, 6, 14, 0, 0, 0, 0, 0, 18, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 132, 0, 0, 0, 0, 
sub_403630, 0, 12, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 42, 5, 10, 1, 0, 3, 2, 1, 9, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 9, 0, 0.3333333333333333, 123, 0, 0, 0, 0, 
sub_4036F0, 0, 21, 0, 0, 10, 0, 10, 0, 0, 0, 4, 0, 4, 3, 0, 0, 0, 0, 0, 0, 66, 11, 29, 0, 0, 0, 0, 0, 24, 0.0, 1.0, 0.0, 0, 0, 0, 15, 0, 0, 269, 0, 0, 0, 0, 
sub_403880, 0, 3, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 4, 15, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 77, 0, 0, 0, 0, 
