_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_4016f0, 0, 121, 8, 9, 55, 1, 65, 0, 1, 0, 2, 1.0, 23, 6, 4, 0, 0, 0, 0, 0, 422, 60, 16, 0, 2, 4, 2, 2, 84, 0.13846153846153847, 0.8461538461538461, 0.015384615384615385, 0.0, 0.5, 0.5, 21, 11, 0, 1298, 0, 0, 0, 0, 
sub_40208B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_4020AA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_4020E1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_402138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_402140, 0, 48, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 146, 32, 22, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 15, 0.6666666666666666, 498, 0, 0, 0, 0, 
sub_402520, 0, 6, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 34, 6, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 92, 0, 0, 0, 0, 
sub_4025C0, 0, 7, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 27, 2, 16, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 
sub_402660, 0, 7, 5, 0, 7, 0, 7, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 41, 4, 23, 0, 0, 0, 0, 0, 36, 0.0, 1.0, 0.0, 0, 0, 0, 8, 12, 0, 185, 0, 0, 0, 0, 
sub_402760, 0, 456, 43, 321, 116, 0, 437, 0, 5, 0, 5, 0.0, 101, 5, 3, 0, 0, 0, 0, 0, 2636, 79, 22, 2, 1, 7, 4, 2, 280, 0.7345537757437071, 0.2654462242562929, 0.0, 0.2857142857142857, 0.14285714285714285, 0.5714285714285714, 28, 38, 0, 3637, 0, 0, 0, 0, 
