_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401210, 0, 33, 0, 0, 8, 0, 8, 0, 0, 0, 2, 0.0, 0, 3, 1, 0, 0, 0, 0, 0, 100, 18, 11, 2, 0, 3, 1, 2, 23, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 18, 3, 0, 341, 0, 0, 0, 0, 
sub_40143B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_40145A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_401491, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_4014E8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
sub_401510, 0, 6, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 34, 6, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 92, 0, 0, 0, 0, 
sub_4015B0, 0, 7, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 27, 2, 16, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 
sub_401650, 0, 7, 5, 0, 7, 0, 7, 0, 0, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 41, 4, 23, 0, 0, 0, 0, 0, 36, 0.0, 1.0, 0.0, 0, 0, 0, 8, 12, 0, 183, 0, 0, 0, 0, 
sub_401750, 0, 381, 53, 321, 118, 0, 439, 0, 2, 0, 4, 0.0, 94, 5, 3, 0, 0, 0, 0, 0, 2468, 84, 20, 3, 1, 7, 3, 3, 286, 0.7312072892938497, 0.26879271070615035, 0.0, 0.42857142857142855, 0.14285714285714285, 0.42857142857142855, 27, 38, 0, 3307, 0, 0, 0, 0, 
sub_401750, 0, 381, 53, 321, 118, 0, 439, 0, 2, 0, 4, 0.0, 94, 5, 3, 0, 0, 0, 0, 0, 2468, 84, 20, 3, 1, 7, 3, 3, 286, 0.7312072892938497, 0.26879271070615035, 0.0, 0.42857142857142855, 0.14285714285714285, 0.42857142857142855, 27, 38, 0, 3307, 0, 0, 0, 0, 
