_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402030, 0, 170, 2, 30, 43, 0, 73, 0, 0, 0, 3, 0.3333333333333333, 12, 3, 2, 0, 0, 0, 0, 0, 537, 87, 22, 2, 0, 6, 4, 2, 73, 0.410958904109589, 0.589041095890411, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 59, 21, 1.0, 1753, 0, 0, 0, 0, 
sub_402E0B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
sub_402E2A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_402E61, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 0, 1, 1, 1, 5, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 1, 0, 38, 0, 0, 0, 0, 
sub_402EB8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
null_402ec0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 
sub_402ED0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 9, 1, 6, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 
sub_402F00, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 
sub_402F30, 0, 24, 5, 0, 14, 0, 14, 0, 0, 0, 2, 0.0, 2, 3, 3, 0, 0, 0, 0, 0, 103, 17, 15, 2, 0, 5, 3, 4, 30, 0.0, 1.0, 0.0, 0.4, 0.0, 0.6, 9, 0, 0, 323, 0, 0, 0, 0, 
sub_4031A0, 0, 24, 1, 0, 8, 0, 8, 0, 0, 0, 0, 0.0, 5, 3, 1, 0, 0, 0, 0, 0, 73, 10, 12, 1, 0, 2, 1, 1, 23, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 5, 0, 0, 198, 0, 0, 0, 0, 
sub_4032B0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 25, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 
sub_403570, 0, 7, 0, 0, 5, 0, 5, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 41, 8, 16, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 139, 0, 0, 0, 0, 
sub_4036C0, 0, 8, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 25, 6, 16, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 74, 0, 0, 0, 0, 
sub_403720, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 1, 6, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 
sub_403740, 0, 2, 0, 0, 3, 0, 3, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 15, 1, 6, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 36, 0, 0, 0, 0, 
sub_403790, 0, 12, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0.5, 1, 1, 1, 0, 0, 0, 0, 0, 48, 7, 12, 0, 0, 1, 1, 1, 11, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6, 1, 0, 138, 0, 0, 0, 0, 
sub_4038B0, 0, 79, 10, 0, 41, 0, 41, 0, 0, 0, 6, 0.0, 24, 5, 2, 0, 0, 0, 0, 0, 283, 32, 19, 1, 0, 3, 2, 2, 86, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 22, 4, 0.6666666666666666, 828, 0, 0, 0, 0, 
sub_403EC0, 0, 4, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 17, 1, 8, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 
sub_403F30, 0, 14, 1, 0, 9, 0, 9, 0, 0, 0, 2, 0.0, 0, 3, 0, 0, 0, 0, 0, 0, 69, 10, 17, 2, 0, 2, 0, 1, 18, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5, 0, 0, 234, 0, 0, 0, 0, 
sub_404120, 0, 24, 0, 0, 25, 0, 25, 0, 0, 0, 3, 0, 3, 3, 1, 0, 0, 0, 0, 0, 163, 26, 19, 1, 0, 2, 1, 1, 26, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 16, 9, 0, 552, 0, 0, 0, 0, 
sub_404580, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 57, 0, 0, 0, 0, 
sub_404600, 0, 21, 3, 0, 15, 0, 15, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0, 0, 0, 70, 10, 15, 0, 0, 0, 0, 0, 35, 0.0, 1.0, 0.0, 0, 0, 0, 8, 0, 0, 221, 0, 0, 0, 0, 
sub_404700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
sub_404710, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 18, 5, 17, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 62, 0, 0, 0, 0, 
sub_4047A0, 0, 31, 0, 0, 20, 0, 20, 0, 3, 0, 5, 0, 13, 2, 0, 0, 0, 0, 0, 0, 118, 9, 27, 0, 0, 0, 0, 0, 77, 0.0, 1.0, 0.0, 0, 0, 0, 44, 0, 0, 544, 0, 0, 0, 0, 
sub_404A40, 0, 25, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 4, 1, 2, 0, 0, 0, 0, 0, 82, 10, 16, 0, 0, 2, 2, 2, 25, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 5, 0, 253, 0, 0, 0, 0, 
sub_404C00, 0, 35, 0, 0, 9, 0, 9, 0, 0, 0, 2, 0.3333333333333333, 0, 2, 0, 0, 0, 0, 0, 0, 98, 19, 22, 2, 1, 3, 0, 2, 38, 0.0, 1.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 16, 10, 0, 368, 0, 0, 0, 0, 
sub_404E30, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 1, 5, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 
sub_404E60, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 11, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0.0, 1.0, 0.0, 3, 0, 0, 42, 0, 0, 0, 0, 
sub_404EA0, 0, 18, 2, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 34, 5, 13, 0, 0, 0, 0, 0, 21, 0.0, 1.0, 0.0, 0, 0, 0, 12, 0, 0, 168, 0, 0, 0, 0, 
sub_404F80, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 13, 1, 7, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 3, 0, 36, 0, 0, 0, 0, 
sub_404FB0, 0, 14, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 23, 3, 11, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 2, 10, 0, 97, 0, 0, 0, 0, 
sub_405050, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 0, 34, 0, 0, 0, 0, 
sub_405070, 0, 7, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 5, 11, 0, 1, 1, 0, 1, 3, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1, 1, 0, 65, 0, 0, 0, 0, 
sub_4050E0, 0, 10, 0, 0, 7, 0, 7, 0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 43, 7, 7, 0, 0, 2, 2, 2, 9, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 5, 0, 121, 0, 0, 0, 0, 
sub_405160, 0, 6, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 3, 16, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 5, 0, 0, 85, 0, 0, 0, 0, 
sub_4051D0, 0, 8, 1, 0, 6, 0, 6, 0, 2, 0, 0, 0.0, 1, 3, 1, 0, 0, 0, 0, 0, 35, 4, 18, 0, 1, 1, 0, 1, 20, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 9, 0, 0, 139, 0, 0, 0, 0, 
sub_405260, 0, 6, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 21, 5, 6, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 1, 2, 0, 57, 0, 0, 0, 0, 
sub_4052B0, 0, 12, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0.3333333333333333, 1, 2, 2, 0, 0, 0, 0, 0, 53, 8, 13, 1, 0, 3, 2, 1, 17, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0, 10, 0, 172, 0, 0, 0, 0, 
sub_4053A0, 0, 8, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 19, 5, 15, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 57, 0, 0, 0, 0, 
sub_405410, 0, 12, 3, 0, 5, 0, 5, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 39, 8, 16, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 
sub_405520, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 
sub_405550, 0, 11, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 36, 8, 19, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 0, 3, 0, 103, 0, 0, 0, 0, 
sub_4055F0, 0, 10, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 41, 9, 11, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 7, 0, 0, 153, 0, 0, 0, 0, 
