_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401c40, 0, 330, 15, 0, 69, 3, 72, 0, 0, 0, 0, 1.0, 99, 2, 1, 0, 0, 0, 1, 0, 694, 14, 31, 4, 0, 4, 0, 1, 206, 0.0, 0.9583333333333334, 0.041666666666666664, 1.0, 0.0, 0.0, 127, 3, 0.0, 2329, 0, 0, 0, 0, 
fcn_0040290b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00402961, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_004029b8, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_004029c0, 1, 128, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 192, 13, 34, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 1, 0.0, 640, 0, 0, 0, 0, 
fcn_00402e30, 0, 80, 25, 0, 10, 0, 10, 0, 0, 0, 0, 0, 10, 2, 1, 0, 0, 0, 0, 0, 122, 0, 7, 1, 0, 1, 0, 1, 68, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 13, 0, 0, 359, 0, 0, 0, 0, 
fcn_00402fc0, 0, 108, 18, 0, 30, 3, 33, 0, 0, 0, 0, 1.0, 41, 2, 0, 0, 0, 0, 0, 0, 260, 0, 9, 3, 0, 5, 2, 1, 103, 0.0, 0.9090909090909091, 0.09090909090909091, 0.6, 0.0, 0.4, 27, 0, 0, 716, 0, 0, 0, 0, 
fcn_00403330, 0, 14, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 22, 1, 7, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 6, 0, 0, 76, 0, 0, 0, 0, 
fcn_00403390, 0, 58, 32, 0, 17, 0, 17, 0, 0, 0, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 127, 0, 11, 0, 0, 1, 1, 1, 60, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10, 0, 0, 339, 0, 0, 0, 0, 
fcn_00403510, 2, 19, 0, 0, 5, 2, 7, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 41, 0, 16, 0, 0, 0, 0, 0, 13, 0.0, 0.7142857142857143, 0.2857142857142857, 0, 0, 0, 4, 3, 0, 143, 0, 0, 0, 0, 
fcn_004035b0, 0, 27, 4, 0, 17, 0, 17, 0, 0, 0, 0, 0, 14, 2, 1, 0, 0, 0, 0, 0, 85, 0, 8, 0, 0, 1, 1, 1, 33, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 15, 0, 0, 240, 0, 0, 0, 0, 
fcn_004036b0, 0, 553, 43, 0, 128, 30, 158, 0, 0, 0, 0, 1.0, 160, 2, 4, 0, 0, 0, 1, 0, 1125, 21, 27, 9, 0, 11, 2, 1, 618, 0.0, 0.810126582278481, 0.189873417721519, 0.8181818181818182, 0.0, 0.18181818181818182, 305, 0, 0, 3902, 0, 0, 0, 0, 
