_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402180, 0, 104, 2, 0, 32, 1, 33, 0, 0, 0, 0, 1.0, 46, 2, 1, 0, 0, 0, 2, 0, 286, 15, 24, 3, 0, 3, 0, 1, 87, 0.0, 0.9696969696969697, 0.030303030303030304, 1.0, 0.0, 0.0, 42, 3, 0, 894, 0, 0, 0, 0, 
fcn_004026bb, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00402711, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00402768, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_00402770, 1, 156, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 225, 13, 64, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 2, 0.0, 756, 0, 0, 0, 0, 
fcn_00402bd0, 0, 13, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 9, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 0, 0, 95, 0, 0, 0, 0, 
fcn_00402c50, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 7, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 47, 0, 0, 0, 0, 
fcn_00402c90, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 0, 7, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 41, 0, 0, 0, 0, 
fcn_00402cd0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 0, 7, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 41, 0, 0, 0, 0, 
fcn_00402d10, 2, 347, 8, 0, 97, 6, 103, 0, 0, 0, 0, 1.0, 135, 3, 0, 0, 0, 0, 0, 0, 804, 11, 31, 2, 0, 3, 1, 1, 277, 0.0, 0.941747572815534, 0.05825242718446602, 0.6666666666666666, 0.0, 0.3333333333333333, 198, 0, 0, 2646, 0, 0, 0, 0, 
fcn_00403a80, 0, 37, 3, 0, 6, 0, 6, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 71, 1, 16, 0, 0, 1, 1, 1, 15, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 9, 0, 0, 228, 0, 0, 0, 0, 
fcn_00403c60, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 9, 0, 0, 1, 1, 1, 10, 0, 0, 0, 0.0, 0.0, 1.0, 2, 0, 0, 80, 0, 0, 0, 0, 
fcn_00403cb0, 2, 19, 0, 0, 5, 2, 7, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 41, 0, 16, 0, 0, 0, 0, 0, 13, 0.0, 0.7142857142857143, 0.2857142857142857, 0, 0, 0, 4, 3, 0, 143, 0, 0, 0, 0, 
fcn_00403d50, 0, 27, 4, 0, 17, 0, 17, 0, 0, 0, 0, 0, 14, 2, 1, 0, 0, 0, 0, 0, 85, 0, 8, 0, 0, 1, 1, 1, 33, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 15, 0, 0, 240, 0, 0, 0, 0, 
fcn_00403e50, 0, 553, 43, 0, 128, 30, 158, 0, 0, 0, 0, 1.0, 160, 2, 4, 0, 0, 0, 1, 0, 1125, 21, 27, 9, 0, 11, 2, 1, 618, 0.0, 0.810126582278481, 0.189873417721519, 0.8181818181818182, 0.0, 0.18181818181818182, 305, 0, 0, 3902, 0, 0, 0, 0, 
fcn_00405080, 2, 52, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 3, 2, 1, 0, 0, 0, 0, 0, 87, 4, 18, 2, 0, 2, 0, 1, 34, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 29, 0, 0, 333, 0, 0, 0, 0, 
fcn_004055a0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 9, 1, 0, 1, 0, 1, 8, 0, 0, 0, 1.0, 0.0, 0.0, 8, 0, 0, 88, 0, 0, 0, 0, 
fcn_00405680, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 
fcn_00405720, 3, 25, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 11, 1, 0, 1, 0, 1, 13, 0, 0, 0, 1.0, 0.0, 0.0, 7, 1, 0, 134, 0, 0, 0, 0, 
fcn_00405750, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 7, 9, 1, 0, 1, 0, 1, 8, 0, 0, 0, 1.0, 0.0, 0.0, 8, 0, 0, 91, 0, 0, 0, 0, 
fcn_004058d0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 
fcn_004058f0, 0, 12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 20, 1, 7, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 60, 0, 0, 0, 0, 
fcn_00405c50, 0, 103, 2, 0, 32, 3, 35, 0, 0, 0, 0, 0, 33, 2, 0, 0, 2, 0, 0, 0, 251, 5, 15, 1, 0, 2, 1, 1, 72, 0.0, 0.9142857142857143, 0.08571428571428572, 0.5, 0.0, 0.5, 38, 0, 0, 753, 0, 0, 0, 0, 
fcn_00405d20, 0, 160, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0, 200, 4, 31, 4, 0, 4, 0, 1, 61, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 74, 0, 0, 793, 0, 0, 0, 0, 
