_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402a90, 0, 159, 2, 0, 33, 1, 34, 0, 0, 0, 0, 0, 63, 2, 2, 0, 0, 0, 0, 0, 395, 45, 15, 2, 0, 2, 0, 1, 125, 0.0, 0.9705882352941176, 0.029411764705882353, 1.0, 0.0, 0.0, 96, 8, 0, 1289, 0, 0, 0, 0, 
fcn_004031cb, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00403221, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00403278, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_00403280, 0, 37, 2, 0, 4, 0, 4, 0, 0, 0, 0, 0, 7, 1, 0, 0, 1, 0, 0, 0, 62, 0, 9, 1, 0, 1, 0, 1, 28, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 21, 0, 0, 234, 0, 0, 0, 0, 
fcn_004033e0, 0, 27, 3, 0, 4, 1, 5, 0, 0, 0, 0, 0, 5, 1, 1, 0, 0, 0, 0, 0, 52, 1, 9, 1, 0, 1, 0, 1, 11, 0.0, 0.8, 0.2, 1.0, 0.0, 0.0, 4, 0, 0, 153, 0, 0, 0, 0, 
fcn_004034a0, 18, 178, 26, 0, 29, 0, 29, 0, 0, 0, 0, 1.0, 32, 2, 0, 0, 0, 0, 0, 0, 350, 18, 15, 5, 0, 5, 0, 1, 118, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 57, 0, 0, 1148, 0, 0, 0, 0, 
fcn_00403a50, 0, 69, 2, 0, 11, 0, 11, 0, 0, 0, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 132, 6, 13, 1, 0, 2, 1, 1, 43, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 25, 0, 0, 452, 0, 0, 0, 0, 
fcn_00403c80, 1, 183, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 258, 13, 90, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 1, 0.0, 871, 0, 0, 0, 0, 
fcn_004041b0, 1, 121, 6, 0, 25, 2, 27, 0, 0, 0, 0, 1.0, 29, 2, 1, 0, 0, 0, 0, 0, 260, 10, 14, 3, 0, 4, 1, 1, 97, 0.0, 0.9259259259259259, 0.07407407407407407, 0.75, 0.0, 0.25, 42, 0, 0.0, 891, 0, 0, 0, 0, 
