_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401a80, 0, 34, 2, 0, 7, 0, 7, 0, 0, 0, 0, 1.0, 7, 1, 1, 0, 0, 0, 0, 0, 87, 1, 9, 2, 0, 3, 1, 1, 16, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 11, 2, 0, 275, 0, 0, 0, 0, 
fcn_00401c6b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00401cc1, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00401d18, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_00401d20, 0, 18, 8, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 37, 0, 8, 1, 0, 1, 0, 1, 15, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 94, 0, 0, 0, 0, 
fcn_00401d80, 0, 31, 0, 0, 6, 0, 6, 0, 0, 0, 0, 1.0, 7, 1, 0, 0, 0, 0, 0, 0, 69, 0, 10, 0, 0, 2, 2, 1, 44, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 11, 0, 0, 235, 0, 0, 0, 0, 
fcn_00401e60, 0, 26, 3, 0, 5, 0, 5, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 47, 0, 11, 1, 0, 1, 0, 1, 18, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 137, 0, 0, 0, 0, 
fcn_00401ed0, 0, 27, 1, 0, 5, 2, 7, 0, 0, 0, 0, 1.0, 4, 1, 0, 0, 0, 0, 0, 0, 49, 0, 15, 0, 0, 1, 1, 1, 18, 0.0, 0.7142857142857143, 0.2857142857142857, 0.0, 0.0, 1.0, 0, 0, 0, 152, 0, 0, 0, 0, 
fcn_00401f60, 0, 64, 0, 0, 5, 2, 7, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 1, 0, 95, 0, 17, 1, 0, 1, 0, 1, 42, 0.0, 0.7142857142857143, 0.2857142857142857, 1.0, 0.0, 0.0, 3, 0, 0, 304, 0, 0, 0, 0, 
fcn_004020d0, 0, 55, 4, 0, 3, 0, 3, 0, 0, 0, 0, 1.0, 6, 1, 0, 0, 0, 0, 1, 0, 85, 5, 16, 1, 0, 2, 1, 1, 36, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 35, 0, 0, 341, 0, 0, 0, 0, 
fcn_00402240, 0, 31, 1, 0, 8, 2, 10, 0, 0, 0, 0, 1.0, 9, 2, 0, 0, 0, 0, 0, 0, 71, 2, 15, 1, 0, 1, 0, 1, 28, 0.0, 0.8, 0.2, 1.0, 0.0, 0.0, 15, 0, 0, 232, 0, 0, 0, 0, 
fcn_00402340, 0, 21, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1.0, 1, 1, 0, 0, 0, 0, 0, 0, 35, 0, 9, 2, 0, 2, 0, 1, 11, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2, 2, 0, 110, 0, 0, 0, 0, 
fcn_004023d0, 0, 12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 18, 0, 8, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 3, 2, 0, 69, 0, 0, 0, 0, 
fcn_00402440, 0, 8, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 20, 0, 9, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 62, 0, 0, 0, 0, 
fcn_00402490, 0, 39, 19, 0, 10, 1, 11, 0, 0, 0, 0, 0, 10, 2, 0, 0, 1, 0, 1, 0, 90, 0, 13, 3, 0, 3, 0, 1, 38, 0.0, 0.9090909090909091, 0.09090909090909091, 1.0, 0.0, 0.0, 3, 0, 0, 239, 0, 0, 0, 0, 
fcn_00402590, 2, 29, 10, 0, 6, 0, 6, 0, 0, 0, 0, 1.0, 5, 2, 0, 0, 0, 0, 0, 0, 61, 0, 13, 1, 0, 1, 0, 1, 22, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2, 0, 0, 164, 0, 0, 0, 0, 
fcn_00402640, 0, 30, 6, 0, 4, 0, 4, 0, 0, 0, 0, 1.0, 4, 2, 0, 0, 2, 0, 0, 0, 56, 1, 9, 1, 0, 1, 0, 1, 21, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2, 0, 0, 154, 0, 0, 0, 0, 
fcn_004026f0, 0, 19, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 4, 1, 0, 0, 1, 0, 0, 0, 45, 0, 9, 1, 0, 1, 0, 1, 12, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 3, 0, 131, 0, 0, 0, 0, 
fcn_004027d0, 0, 179, 13, 0, 23, 1, 24, 0, 0, 0, 0, 1.0, 22, 2, 0, 0, 1, 0, 0, 0, 291, 5, 11, 4, 0, 4, 0, 1, 135, 0.0, 0.9583333333333334, 0.041666666666666664, 1.0, 0.0, 0.0, 30, 0, 0, 913, 0, 0, 0, 0, 
fcn_00402bf0, 0, 209, 10, 0, 35, 1, 36, 0, 0, 0, 0, 1.0, 31, 2, 0, 0, 0, 0, 1, 0, 373, 13, 18, 4, 0, 5, 1, 1, 219, 0.0, 0.9722222222222222, 0.027777777777777776, 0.8, 0.0, 0.2, 85, 0, 0, 1338, 0, 0, 0, 0, 
fcn_00403210, 2, 199, 10, 0, 30, 0, 30, 0, 0, 0, 0, 1.0, 36, 2, 0, 0, 3, 0, 1, 0, 377, 3, 11, 11, 0, 12, 1, 1, 212, 0.0, 1.0, 0.0, 0.9166666666666666, 0.0, 0.08333333333333333, 96, 0, 0, 1298, 0, 0, 0, 0, 
fcn_00403840, 0, 91, 14, 0, 15, 1, 16, 0, 0, 0, 0, 1.0, 16, 2, 0, 0, 0, 0, 0, 0, 178, 9, 16, 4, 0, 4, 0, 1, 92, 0.0, 0.9375, 0.0625, 1.0, 0.0, 0.0, 22, 0, 0, 572, 0, 0, 0, 0, 
fcn_00404050, 2, 197, 21, 0, 29, 4, 33, 0, 0, 0, 0, 1.0, 29, 2, 0, 0, 1, 0, 0, 0, 354, 25, 21, 2, 0, 3, 1, 1, 221, 0.0, 0.8787878787878788, 0.12121212121212122, 0.6666666666666666, 0.0, 0.3333333333333333, 72, 0, 0, 1212, 0, 0, 0, 0, 
fcn_004040a0, 0, 17, 0, 0, 3, 0, 3, 0, 0, 0, 0, 1.0, 3, 1, 0, 0, 0, 0, 0, 0, 48, 2, 9, 1, 0, 2, 1, 1, 14, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 7, 0, 0, 146, 0, 0, 0, 0, 
fcn_00404170, 0, 51, 2, 0, 6, 1, 7, 0, 0, 0, 0, 1.0, 8, 1, 0, 0, 0, 0, 2, 0, 100, 0, 12, 5, 0, 6, 1, 1, 35, 0.0, 0.8571428571428571, 0.14285714285714285, 0.8333333333333334, 0.0, 0.16666666666666666, 6, 1, 0, 303, 0, 0, 0, 0, 
fcn_004042e0, 1, 102, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 161, 13, 26, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 1, 0.0, 532, 0, 0, 0, 0, 
fcn_00404690, 0, 14, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 36, 0, 9, 1, 0, 2, 1, 1, 7, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 1, 0, 0, 91, 0, 0, 0, 0, 
fcn_00404710, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 9, 0, 0, 1, 1, 1, 10, 0, 0, 0, 0.0, 0.0, 1.0, 2, 0, 0, 80, 0, 0, 0, 0, 
fcn_00404760, 2, 19, 0, 0, 5, 2, 7, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 41, 0, 16, 0, 0, 0, 0, 0, 13, 0.0, 0.7142857142857143, 0.2857142857142857, 0, 0, 0, 4, 3, 0, 143, 0, 0, 0, 0, 
fcn_00404800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 
fcn_00404820, 0, 224, 22, 0, 68, 1, 69, 0, 0, 0, 0, 0, 80, 3, 1, 0, 0, 0, 0, 0, 523, 15, 10, 2, 0, 2, 0, 1, 273, 0.0, 0.9855072463768116, 0.014492753623188406, 1.0, 0.0, 0.0, 178, 0, 0, 1891, 0, 0, 0, 0, 
fcn_00405150, 0, 73, 0, 0, 20, 0, 20, 0, 0, 0, 0, 0, 23, 3, 1, 0, 0, 0, 0, 0, 170, 1, 9, 2, 0, 2, 0, 1, 29, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5, 0, 0.0, 486, 0, 0, 0, 0, 
