_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_4017e0, 1, 118, 1, 0, 27, 1, 28, 0, 0, 0, 0, 1.0, 35, 3, 1, 0, 0, 0, 1, 0, 264, 0, 22, 5, 0, 6, 1, 1, 57, 0.0, 0.9642857142857143, 0.03571428571428571, 0.8333333333333334, 0.0, 0.16666666666666666, 44, 6, 0, 810, 0, 0, 0, 0, 
fcn_00401cbb, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00401d11, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00401d68, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_00401d70, 2, 78, 9, 0, 16, 0, 16, 0, 0, 0, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 144, 0, 10, 0, 0, 1, 1, 1, 78, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 19, 6, 0, 463, 0, 0, 0, 0, 
fcn_00401f80, 1, 16, 1, 0, 3, 0, 3, 0, 0, 0, 0, 1.0, 4, 1, 0, 0, 0, 0, 1, 0, 39, 0, 8, 0, 0, 1, 1, 1, 15, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 9, 1, 0, 121, 0, 0, 0, 0, 
fcn_00402000, 0, 30, 0, 0, 9, 0, 9, 0, 0, 0, 0, 1.0, 9, 1, 1, 0, 1, 0, 0, 0, 75, 0, 8, 1, 0, 1, 0, 1, 20, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 16, 6, 0, 220, 0, 0, 0, 0, 
fcn_004020f0, 2, 25, 2, 0, 6, 0, 6, 0, 0, 0, 0, 1.0, 8, 1, 0, 0, 0, 0, 0, 0, 65, 0, 8, 2, 0, 2, 0, 1, 26, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 11, 3, 0, 196, 0, 0, 0, 0, 
fcn_004021d0, 0, 12, 1, 0, 6, 0, 6, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 37, 0, 7, 1, 0, 1, 0, 1, 9, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 9, 5, 0, 107, 0, 0, 0, 0, 
fcn_00402260, 0, 17, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 3, 1, 0, 0, 0, 0, 1, 0, 36, 0, 8, 1, 0, 1, 0, 1, 14, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 9, 0, 0, 110, 0, 0, 0, 0, 
fcn_004022e0, 0, 30, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 49, 0, 8, 1, 0, 1, 0, 1, 21, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 12, 4, 0, 180, 0, 0, 0, 0, 
fcn_004023d0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 15, 0, 7, 1, 0, 1, 0, 1, 3, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 1, 0, 47, 0, 0, 0, 0, 
