_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_403050, 1, 290, 11, 0, 83, 3, 86, 0, 0, 0, 0, 1.0, 102, 2, 2, 0, 0, 0, 1, 0, 705, 22, 19, 5, 0, 5, 0, 1, 190, 0.0, 0.9651162790697675, 0.03488372093023256, 1.0, 0.0, 0.0, 108, 12, 0, 2229, 0, 0, 0, 0, 
fcn_00403cfb, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 
fcn_00403d51, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00403da8, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 61, 0, 0, 0, 0, 
fcn_00403db0, 0, 38, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 76, 1, 10, 1, 0, 1, 0, 1, 16, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 278, 0, 0, 0, 0, 
fcn_00403fc0, 0, 40, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 73, 17, 8, 1, 0, 1, 0, 1, 25, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 20, 1, 0, 248, 0, 0, 0, 0, 
fcn_00404090, 0, 155, 10, 0, 47, 0, 47, 0, 0, 0, 0, 1.0, 58, 2, 0, 0, 0, 0, 0, 0, 391, 17, 10, 5, 0, 6, 1, 1, 97, 0.0, 1.0, 0.0, 0.8333333333333334, 0.0, 0.16666666666666666, 51, 4, 0, 1162, 0, 0, 0, 0, 
fcn_004046f0, 1, 139, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 205, 13, 77, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 1, 0.0, 685, 0, 0, 0, 0, 
fcn_00404bd0, 0, 11, 1, 0, 2, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 21, 0, 9, 0, 0, 0, 0, 0, 5, 0.0, 0.6666666666666666, 0.3333333333333333, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 
fcn_00404c20, 0, 15, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 42, 0, 7, 1, 0, 1, 0, 1, 7, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 1, 0, 113, 0, 0, 0, 0, 
fcn_00404cd0, 0, 12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 23, 0, 7, 0, 0, 1, 1, 1, 2, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 0, 0, 61, 0, 0, 0, 0, 
fcn_00404d10, 0, 6, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 13, 0, 10, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 
fcn_00404d30, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 33, 0, 0, 0, 0, 
fcn_00404d70, 0, 26, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 37, 0, 10, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 4, 0, 0, 135, 0, 0, 0, 0, 
fcn_00404e20, 0, 34, 2, 0, 3, 0, 3, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 59, 3, 14, 1, 0, 1, 0, 1, 10, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 6, 2, 0, 196, 0, 0, 0, 0, 
fcn_00404f50, 0, 35, 2, 0, 2, 2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 47, 0, 12, 0, 0, 0, 0, 0, 8, 0.0, 0.5, 0.5, 0, 0, 0, 1, 0, 0, 182, 0, 0, 0, 0, 
fcn_00405060, 0, 26, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 39, 0, 12, 0, 0, 1, 1, 1, 3, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 0, 0, 129, 0, 0, 0, 0, 
fcn_00405120, 0, 141, 8, 0, 25, 7, 32, 0, 0, 0, 0, 1.0, 31, 2, 1, 0, 1, 0, 0, 0, 282, 17, 26, 4, 0, 4, 0, 1, 114, 0.0, 0.78125, 0.21875, 1.0, 0.0, 0.0, 61, 0, 0, 937, 0, 0, 0, 0, 
fcn_00405550, 0, 24, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 42, 0, 12, 0, 0, 1, 1, 1, 9, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8, 0, 0, 137, 0, 0, 0, 0, 
fcn_00405620, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 13, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0.0, 0.0, 1.0, 4, 0, 0, 85, 0, 0, 0, 0, 
fcn_004056a0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 29, 0, 0, 0, 0, 
fcn_00405700, 4, 8, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 9, 0, 0, 0, 0, 0, 5, 0.0, 0.0, 1.0, 0, 0, 0, 3, 0, 0, 62, 0, 0, 0, 0, 
fcn_00405740, 0, 9, 2, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 0, 9, 0, 0, 0, 0, 0, 8, 0.0, 0.3333333333333333, 0.6666666666666666, 0, 0, 0, 2, 0, 0, 54, 0, 0, 0, 0, 
