_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401940, 1, 266, 0, 0, 96, 2, 98, 0, 0, 0, 0, 1.0, 126, 3, 1, 0, 0, 0, 1, 0, 763, 14, 22, 7, 0, 9, 2, 1, 261, 0.0, 0.9795918367346939, 0.02040816326530612, 0.7777777777777778, 0.0, 0.2222222222222222, 196, 8, 0.0, 2522, 0, 0, 0, 0, 
fcn_0040280b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00402861, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_004028b8, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_004028c0, 0, 9, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 21, 1, 10, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 64, 0, 0, 0, 0, 
fcn_00402910, 0, 12, 0, 0, 3, 0, 3, 0, 0, 0, 0, 1.0, 2, 2, 0, 0, 0, 0, 0, 0, 28, 1, 11, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 90, 0, 0, 0, 0, 
fcn_00402990, 0, 35, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 66, 0, 12, 0, 0, 1, 1, 1, 15, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10, 0, 0, 232, 0, 0, 0, 0, 
fcn_00402ac0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 39, 0, 0, 0, 0, 
fcn_00402b40, 0, 8, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 1, 1, 0, 0, 0, 0, 0, 0, 23, 0, 7, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 75, 0, 0, 0, 0, 
fcn_00402b90, 0, 44, 3, 0, 12, 3, 15, 0, 0, 0, 0, 0, 8, 3, 0, 0, 0, 0, 0, 0, 94, 0, 15, 1, 0, 1, 0, 1, 27, 0.0, 0.8, 0.2, 1.0, 0.0, 0.0, 11, 0, 0, 289, 0, 0, 0, 0, 
fcn_00402c90, 0, 11, 1, 0, 3, 0, 3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 24, 0, 9, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 3, 1, 0, 68, 0, 0, 0, 0, 
fcn_00402cf0, 1, 34, 0, 0, 6, 0, 6, 0, 0, 0, 0, 1.0, 6, 1, 0, 0, 0, 0, 0, 0, 74, 1, 10, 2, 0, 2, 0, 1, 26, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 18, 0, 0, 241, 0, 0, 0, 0, 
fcn_00402e10, 1, 32, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 8, 1, 1, 0, 1, 0, 0, 0, 73, 0, 10, 1, 0, 2, 1, 1, 21, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 23, 1, 0, 243, 0, 0, 0, 0, 
fcn_00402f80, 0, 33, 5, 0, 5, 1, 6, 0, 0, 0, 0, 1.0, 6, 1, 1, 0, 0, 0, 0, 0, 61, 0, 9, 0, 0, 1, 1, 1, 24, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 1.0, 9, 0, 0, 189, 0, 0, 0, 0, 
