_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402dd0, 0, 145, 4, 0, 37, 2, 39, 0, 0, 0, 0, 1.0, 48, 2, 1, 0, 0, 0, 1, 0, 361, 18, 14, 5, 0, 5, 0, 1, 103, 0.0, 0.9487179487179487, 0.05128205128205128, 1.0, 0.0, 0.0, 49, 5, 0, 1150, 0, 0, 0, 0, 
fcn_0040345b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 
fcn_004034b1, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00403508, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 61, 0, 0, 0, 0, 
fcn_00403620, 0, 46, 0, 0, 6, 1, 7, 0, 0, 0, 0, 0, 7, 2, 1, 0, 1, 0, 1, 0, 96, 12, 13, 1, 0, 2, 1, 1, 27, 0.0, 0.8571428571428571, 0.14285714285714285, 0.5, 0.0, 0.5, 14, 0, 0, 320, 0, 0, 0, 0, 
fcn_004036b0, 1, 133, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 198, 13, 62, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 1, 0.0, 661, 0, 0, 0, 0, 
fcn_00403a80, 0, 50, 3, 0, 21, 1, 22, 0, 0, 0, 0, 0, 23, 2, 1, 0, 0, 0, 2, 0, 140, 0, 11, 3, 0, 3, 0, 1, 45, 0.0, 0.9545454545454546, 0.045454545454545456, 1.0, 0.0, 0.0, 24, 0, 0, 413, 0, 0, 0, 0, 
fcn_00403c90, 0, 21, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 37, 0, 9, 0, 0, 1, 1, 1, 7, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 7, 0, 0, 112, 0, 0, 0, 0, 
fcn_00403d00, 0, 124, 5, 0, 35, 2, 37, 0, 0, 0, 0, 0, 43, 3, 0, 0, 0, 0, 0, 0, 289, 7, 15, 1, 0, 1, 0, 1, 85, 0.0, 0.9459459459459459, 0.05405405405405406, 1.0, 0.0, 0.0, 43, 2, 0, 878, 0, 0, 0, 0, 
fcn_004041b0, 1, 167, 2, 0, 42, 4, 46, 0, 0, 0, 0, 0, 58, 2, 0, 0, 0, 0, 2, 0, 384, 1, 31, 4, 0, 4, 0, 1, 113, 0.0, 0.9130434782608695, 0.08695652173913043, 1.0, 0.0, 0.0, 59, 0, 0, 1264, 0, 0, 0, 0, 
fcn_00404890, 0, 11, 1, 0, 2, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 21, 0, 9, 0, 0, 0, 0, 0, 5, 0.0, 0.6666666666666666, 0.3333333333333333, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 
fcn_004048e0, 0, 15, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 42, 0, 8, 1, 0, 1, 0, 1, 7, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 1, 0, 116, 0, 0, 0, 0, 
fcn_00404990, 0, 12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 23, 0, 7, 0, 0, 1, 1, 1, 2, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1, 0, 0, 61, 0, 0, 0, 0, 
fcn_004049d0, 0, 6, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 13, 0, 11, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 
