_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401b60, 0, 282, 5, 0, 96, 2, 98, 0, 0, 0, 0, 1.0, 116, 4, 0, 0, 0, 0, 0, 0, 725, 4, 19, 4, 0, 6, 2, 1, 176, 0.0, 0.9795918367346939, 0.02040816326530612, 0.6666666666666666, 0.0, 0.3333333333333333, 134, 16, 0, 2243, 0, 0, 0, 0, 
fcn_004028fb, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00402951, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_004029a8, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_004029b0, 0, 35, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 8, 2, 1, 0, 0, 0, 0, 0, 73, 1, 11, 1, 0, 1, 0, 1, 20, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 11, 0, 0, 236, 0, 0, 0, 0, 
fcn_00402af0, 2, 31, 0, 0, 11, 0, 11, 0, 0, 0, 0, 1.0, 9, 2, 1, 0, 0, 0, 0, 0, 86, 1, 9, 2, 0, 2, 0, 1, 29, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 15, 7, 0.0, 245, 0, 0, 1, 0, 
fcn_00402bd0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 28, 0, 0, 0, 0, 
fcn_00402c00, 23, 908, 23, 0, 129, 4, 133, 0, 0, 0, 0, 1.0, 180, 2, 1, 0, 0, 0, 1, 0, 1721, 14, 18, 11, 0, 15, 4, 1, 692, 0.0, 0.9699248120300752, 0.03007518796992481, 0.7333333333333333, 0.0, 0.26666666666666666, 354, 568, 0.0, 6353, 0, 0, 76, 0, 
fcn_004041a0, 0, 47, 2, 0, 18, 0, 18, 0, 0, 0, 0, 1.0, 19, 2, 0, 0, 0, 0, 1, 0, 131, 1, 10, 1, 0, 2, 1, 1, 41, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 24, 0, 0, 367, 0, 0, 0, 0, 
fcn_00404360, 1, 239, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 325, 14, 80, 1, 0, 2, 1, 1, 26, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 3, 0.0, 1106, 0, 0, 0, 0, 
fcn_00404a30, 0, 30, 5, 0, 5, 1, 6, 0, 0, 0, 0, 1.0, 6, 1, 1, 0, 0, 0, 0, 0, 58, 0, 9, 0, 0, 1, 1, 1, 17, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 1.0, 5, 4, 0, 168, 0, 0, 0, 0, 
fcn_00404b00, 1, 130, 16, 0, 40, 2, 42, 0, 0, 0, 0, 1.0, 49, 2, 2, 0, 0, 0, 0, 0, 352, 4, 11, 5, 0, 8, 3, 1, 122, 0.0, 0.9523809523809523, 0.047619047619047616, 0.625, 0.0, 0.375, 44, 10, 0, 1076, 0, 0, 0, 0, 
fcn_004050f0, 0, 35, 0, 0, 8, 0, 8, 0, 0, 0, 0, 1.0, 8, 1, 0, 0, 0, 0, 0, 0, 79, 3, 12, 2, 0, 2, 0, 1, 28, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 20, 0, 0.0, 250, 0, 0, 0, 0, 
fcn_00405210, 0, 18, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 28, 0, 10, 1, 0, 1, 0, 1, 1, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 90, 0, 0, 0, 0, 
fcn_00405290, 0, 37, 0, 0, 5, 0, 5, 0, 0, 0, 0, 1.0, 5, 1, 0, 0, 0, 0, 1, 0, 67, 0, 9, 1, 0, 1, 0, 1, 18, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 209, 0, 0, 0, 0, 
fcn_004053b0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 22, 0, 15, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0.0, 0.0, 1.0, 0, 0, 0, 74, 0, 0, 0, 0, 
fcn_00405530, 0, 128, 8, 0, 31, 0, 31, 0, 0, 0, 0, 1.0, 37, 1, 0, 0, 0, 0, 0, 0, 276, 5, 16, 3, 0, 4, 1, 1, 90, 0.0, 1.0, 0.0, 0.75, 0.0, 0.25, 52, 0, 0, 825, 0, 0, 0, 0, 
fcn_00405970, 2, 19, 0, 0, 5, 2, 7, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 41, 0, 16, 0, 0, 0, 0, 0, 13, 0.0, 0.7142857142857143, 0.2857142857142857, 0, 0, 0, 4, 3, 0, 143, 0, 0, 0, 0, 
fcn_00405a10, 0, 27, 4, 0, 17, 0, 17, 0, 0, 0, 0, 0, 14, 2, 1, 0, 0, 0, 0, 0, 85, 0, 8, 0, 0, 1, 1, 1, 33, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 15, 0, 0, 240, 0, 0, 0, 0, 
fcn_00405b10, 0, 553, 43, 0, 128, 30, 158, 0, 0, 0, 0, 1.0, 160, 2, 4, 0, 0, 0, 1, 0, 1125, 21, 27, 9, 0, 11, 2, 1, 618, 0.0, 0.810126582278481, 0.189873417721519, 0.8181818181818182, 0.0, 0.18181818181818182, 305, 0, 0, 3902, 0, 0, 0, 0, 
fcn_00406d40, 2, 52, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 3, 2, 1, 0, 0, 0, 0, 0, 87, 4, 18, 2, 0, 2, 0, 1, 34, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 29, 0, 0, 333, 0, 0, 0, 0, 
fcn_00407260, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 7, 1, 0, 1, 0, 1, 8, 0, 0, 0, 1.0, 0.0, 0.0, 8, 0, 0, 84, 0, 0, 0, 0, 
fcn_004073e0, 3, 25, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 11, 1, 0, 1, 0, 1, 13, 0, 0, 0, 1.0, 0.0, 0.0, 7, 1, 0, 134, 0, 0, 0, 0, 
fcn_00407570, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 
fcn_00407590, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 
fcn_004075b0, 0, 152, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1, 0, 4, 0, 0, 0, 186, 3, 31, 3, 0, 3, 0, 1, 58, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 70, 0, 0, 745, 0, 0, 0, 0, 
fcn_0040772e, 0, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 11, 1, 0, 1, 0, 1, 5, 0, 0, 0, 1.0, 0.0, 0.0, 4, 0, 0, 64, 0, 0, 0, 0, 
fcn_00407a10, 0, 25, 0, 0, 4, 0, 4, 0, 0, 0, 0, 1.0, 3, 1, 0, 0, 0, 0, 0, 0, 53, 7, 10, 0, 0, 1, 1, 1, 26, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10, 0, 0, 176, 0, 0, 0, 0, 
fcn_00407b50, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 
fcn_00407bb0, 0, 6, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 24, 0, 7, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 
fcn_00407d50, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 
fcn_00407d80, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 
fcn_00407da0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 30, 0, 0, 0, 0, 
fcn_00407de0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0, 9, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 
fcn_00407e00, 16, 208, 7, 0, 37, 1, 38, 0, 0, 0, 0, 1.0, 68, 2, 1, 0, 0, 0, 0, 0, 441, 2, 13, 4, 0, 11, 7, 1, 113, 0.0, 0.9736842105263158, 0.02631578947368421, 0.36363636363636365, 0.0, 0.6363636363636364, 16, 0, 0, 1213, 0, 0, 0, 0, 
