_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401a70, 0, 38, 0, 0, 11, 1, 12, 0, 0, 0, 0, 0, 10, 2, 1, 0, 0, 0, 0, 0, 100, 0, 9, 2, 0, 2, 0, 1, 18, 0.0, 0.9166666666666666, 0.08333333333333333, 1.0, 0.0, 0.0, 11, 1, 0, 317, 0, 0, 0, 0, 
fcn_00401c5b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00401cb1, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00401d08, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_00401d10, 0, 18, 0, 0, 10, 0, 10, 0, 0, 0, 0, 0, 12, 1, 0, 0, 0, 0, 0, 0, 66, 3, 8, 2, 0, 2, 0, 1, 19, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 170, 0, 0, 0, 0, 
fcn_00401dd0, 1, 15, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 35, 0, 7, 1, 0, 1, 0, 1, 12, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4, 0, 0, 108, 0, 0, 0, 0, 
fcn_00401e50, 1, 33, 1, 0, 3, 0, 3, 0, 0, 0, 0, 1.0, 2, 2, 0, 0, 1, 0, 0, 0, 55, 4, 12, 0, 0, 0, 0, 0, 27, 0.0, 1.0, 0.0, 0, 0, 0, 16, 0, 0, 201, 0, 0, 0, 0, 
fcn_00401f10, 9, 125, 2, 0, 23, 2, 25, 0, 0, 0, 0, 0, 25, 2, 0, 0, 0, 0, 0, 0, 268, 26, 14, 1, 0, 2, 1, 1, 71, 0.0, 0.92, 0.08, 0.5, 0.0, 0.5, 44, 0, 0, 892, 0, 0, 0, 0, 
fcn_004023d0, 1, 117, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 179, 13, 33, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 1, 0.0, 595, 0, 0, 0, 0, 
fcn_004027f0, 2, 19, 0, 0, 5, 2, 7, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 41, 0, 16, 0, 0, 0, 0, 0, 13, 0.0, 0.7142857142857143, 0.2857142857142857, 0, 0, 0, 4, 3, 0, 141, 0, 0, 0, 0, 
