_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402f50, 38, 941, 59, 0, 203, 16, 219, 0, 0, 0, 0, 1.0, 236, 3, 3, 0, 3, 0, 0, 0, 2023, 74, 17, 10, 0, 18, 8, 1, 813, 0.0, 0.9269406392694064, 0.0730593607305936, 0.5555555555555556, 0.0, 0.4444444444444444, 472, 27, 0.0, 7078, 0, 0, 0, 0, 
fcn_0040585b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 
fcn_004058b1, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00405908, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 61, 0, 0, 0, 0, 
fcn_00405930, 0, 31, 0, 0, 5, 0, 5, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 0, 0, 0, 0, 58, 0, 7, 1, 0, 3, 2, 1, 19, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 9, 1, 0, 176, 0, 0, 0, 0, 
fcn_004059f0, 0, 15, 0, 0, 2, 1, 3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 26, 1, 9, 0, 0, 0, 0, 0, 9, 0.0, 0.6666666666666666, 0.3333333333333333, 0, 0, 0, 5, 0, 0, 87, 0, 0, 0, 0, 
fcn_00405a40, 0, 22, 3, 0, 7, 0, 7, 0, 0, 0, 0, 1.0, 8, 1, 0, 0, 0, 0, 0, 0, 62, 0, 8, 0, 0, 2, 2, 1, 24, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 13, 0, 0, 172, 0, 0, 0, 0, 
fcn_00405af0, 0, 8, 2, 0, 5, 0, 5, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 33, 0, 10, 0, 0, 1, 1, 1, 15, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 7, 0, 0, 96, 0, 0, 0, 0, 
fcn_00405b50, 0, 15, 0, 0, 10, 0, 10, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 0, 0, 0, 0, 56, 0, 9, 0, 0, 1, 1, 1, 31, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 22, 0, 0, 176, 0, 0, 0, 0, 
fcn_00405c00, 0, 22, 1, 0, 5, 0, 5, 0, 0, 0, 0, 1.0, 14, 1, 0, 0, 0, 0, 0, 0, 56, 0, 9, 1, 0, 1, 0, 1, 23, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 15, 0, 0, 167, 0, 0, 0, 0, 
