_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402390, 1, 147, 7, 0, 23, 3, 26, 0, 0, 0, 0, 0, 32, 2, 2, 0, 0, 0, 1, 0, 282, 5, 18, 4, 0, 5, 1, 1, 73, 0.0, 0.8846153846153846, 0.11538461538461539, 0.8, 0.0, 0.2, 38, 3, 0, 939, 0, 0, 0, 0, 
fcn_004028cb, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00402921, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00402978, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_00402980, 0, 19, 0, 0, 4, 0, 4, 0, 0, 0, 0, 1.0, 4, 1, 0, 0, 0, 0, 0, 0, 45, 1, 9, 1, 0, 2, 1, 1, 17, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 6, 0, 0, 136, 0, 0, 0, 0, 
fcn_00402a30, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 
fcn_00402a70, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 
fcn_00402ab0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 
fcn_00402af0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 
fcn_004037b0, 0, 149, 3, 0, 26, 0, 26, 0, 0, 0, 0, 1.0, 43, 2, 1, 0, 1, 0, 0, 0, 295, 5, 13, 1, 0, 2, 1, 1, 123, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 51, 0, 0, 970, 0, 0, 0, 0, 
