_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401aa0, 1, 291, 12, 0, 64, 1, 65, 0, 0, 0, 0, 1.0, 79, 3, 0, 0, 0, 0, 1, 0, 623, 7, 15, 6, 0, 6, 0, 1, 203, 0.0, 0.9846153846153847, 0.015384615384615385, 1.0, 0.0, 0.0, 133, 6, 0.0, 2145, 0, 0, 0, 0, 
fcn_004025cb, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00402621, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_00402678, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_00402680, 0, 12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1.0, 1, 1, 0, 0, 0, 0, 0, 0, 24, 0, 7, 0, 0, 1, 1, 1, 9, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 0, 0.0, 76, 0, 0, 0, 0, 
fcn_004026e0, 0, 9, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 30, 2, 9, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 87, 0, 0, 0, 0, 
fcn_00402750, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 7, 1, 0, 1, 0, 1, 4, 0, 0, 0, 1.0, 0.0, 0.0, 0, 0, 0, 52, 0, 0, 0, 0, 
fcn_004027c0, 0, 55, 0, 0, 6, 0, 6, 0, 0, 0, 0, 1.0, 7, 1, 1, 0, 0, 0, 0, 0, 110, 18, 27, 1, 0, 1, 0, 1, 35, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 28, 3, 0, 353, 0, 0, 0, 0, 
fcn_00402930, 0, 52, 0, 0, 11, 0, 11, 0, 0, 0, 0, 1.0, 11, 2, 1, 0, 0, 0, 0, 0, 112, 0, 10, 1, 0, 4, 3, 1, 35, 0.0, 1.0, 0.0, 0.25, 0.0, 0.75, 10, 0, 0, 331, 0, 0, 0, 0, 
fcn_00402ab0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 
fcn_00402b00, 0, 26, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 8, 1, 2, 0, 0, 0, 0, 0, 57, 0, 5, 1, 0, 1, 0, 1, 8, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 11, 0, 0, 140, 0, 0, 0, 0, 
fcn_00402bd0, 0, 26, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 47, 3, 9, 0, 0, 0, 0, 0, 10, 0.0, 1.0, 0.0, 0, 0, 0, 6, 0, 0, 163, 0, 0, 0, 0, 
fcn_00402ca0, 0, 26, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 48, 2, 12, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.0, 0, 0, 0, 5, 0, 0, 172, 0, 0, 0, 0, 
fcn_00402d90, 1, 516, 0, 0, 8, 1, 9, 0, 0, 0, 0, 0, 9, 1, 1, 0, 0, 0, 0, 0, 663, 13, 55, 1, 0, 2, 1, 1, 26, 0.0, 0.8888888888888888, 0.1111111111111111, 0.5, 0.0, 0.5, 17, 1, 0.0, 2274, 0, 0, 0, 0, 
fcn_00403bd0, 7, 408, 67, 0, 97, 8, 105, 0, 0, 0, 0, 1.0, 128, 3, 0, 0, 0, 0, 1, 0, 846, 9, 16, 3, 0, 5, 2, 1, 398, 0.0, 0.9238095238095239, 0.0761904761904762, 0.6, 0.0, 0.4, 248, 0, 0.0, 2941, 0, 0, 0, 0, 
fcn_004049e0, 0, 17, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 29, 0, 12, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 89, 0, 0, 0, 0, 
fcn_00404a50, 2, 19, 0, 0, 5, 2, 7, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 41, 0, 16, 0, 0, 0, 0, 0, 13, 0.0, 0.7142857142857143, 0.2857142857142857, 0, 0, 0, 4, 3, 0, 143, 0, 0, 0, 0, 
