_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_401e60, 4, 915, 34, 0, 249, 10, 259, 0, 0, 0, 0, 1.0, 291, 3, 1, 0, 4, 0, 2, 0, 2065, 27, 21, 18, 0, 21, 3, 1, 809, 0.0, 0.9613899613899614, 0.03861003861003861, 0.8571428571428571, 0.0, 0.14285714285714285, 531, 7, 0.0, 6976, 0, 0, 0, 0, 
fcn_0040470b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 
fcn_00404761, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_004047b8, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 63, 0, 0, 0, 0, 
fcn_004047e0, 1, 9, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 0, 9, 0, 0, 0, 0, 0, 3, 0.0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 0, 
fcn_00404820, 0, 16, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 26, 0, 9, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 86, 0, 0, 0, 0, 
fcn_004048a0, 0, 14, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 22, 0, 8, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 73, 0, 0, 0, 0, 
fcn_00404920, 0, 31, 0, 0, 6, 0, 6, 0, 0, 0, 0, 1.0, 7, 1, 0, 0, 0, 0, 0, 0, 69, 2, 11, 2, 0, 2, 0, 1, 17, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 5, 0, 0, 206, 0, 0, 0, 0, 
fcn_00404a20, 0, 35, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 4, 2, 1, 0, 0, 0, 0, 0, 70, 2, 11, 1, 0, 1, 0, 1, 16, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 216, 0, 0, 0, 0, 
fcn_00404b40, 0, 24, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 50, 0, 11, 0, 0, 1, 1, 1, 9, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 0, 0, 149, 0, 0, 0, 0, 
fcn_00404c20, 0, 23, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 37, 0, 11, 1, 0, 1, 0, 1, 2, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 0, 0, 125, 0, 0, 0, 0, 
fcn_00404cd0, 0, 75, 3, 0, 10, 1, 11, 0, 0, 0, 0, 0, 11, 1, 0, 0, 0, 0, 0, 0, 131, 4, 15, 2, 0, 2, 0, 1, 48, 0.0, 0.9090909090909091, 0.09090909090909091, 1.0, 0.0, 0.0, 26, 0, 0, 452, 0, 0, 0, 0, 
fcn_00404f00, 0, 39, 1, 0, 8, 1, 9, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 85, 3, 11, 0, 0, 1, 1, 1, 30, 0.0, 0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 1.0, 23, 0, 0, 303, 0, 0, 0, 0, 
fcn_00405090, 0, 60, 0, 0, 88, 32, 120, 0, 0, 0, 0, 0, 107, 5, 1, 0, 0, 0, 0, 0, 377, 0, 13, 0, 0, 1, 1, 1, 158, 0.0, 0.7333333333333333, 0.26666666666666666, 0.0, 0.0, 1.0, 2, 0, 0, 945, 0, 0, 0, 0, 
fcn_004056e0, 1, 176, 8, 0, 35, 4, 39, 0, 0, 0, 0, 1.0, 40, 3, 1, 0, 0, 0, 0, 0, 340, 7, 14, 1, 0, 1, 0, 1, 111, 0.0, 0.8974358974358975, 0.10256410256410256, 1.0, 0.0, 0.0, 82, 0, 0, 1214, 0, 0, 2, 0, 
fcn_00405d10, 1, 154, 0, 0, 7, 1, 8, 0, 0, 0, 0, 0, 6, 2, 1, 0, 0, 0, 0, 0, 223, 13, 75, 1, 0, 2, 1, 1, 25, 0.0, 0.875, 0.125, 0.5, 0.0, 0.5, 16, 1, 0.0, 748, 0, 0, 0, 0, 
fcn_00406180, 0, 35, 0, 0, 8, 0, 8, 0, 0, 0, 0, 1.0, 8, 1, 0, 0, 0, 0, 0, 0, 79, 3, 12, 2, 0, 2, 0, 1, 28, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 20, 0, 0.0, 250, 0, 0, 0, 0, 
fcn_004062a0, 0, 17, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 27, 0, 10, 1, 0, 1, 0, 1, 1, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 88, 0, 0, 0, 0, 
fcn_00406320, 0, 37, 0, 0, 5, 0, 5, 0, 0, 0, 0, 1.0, 5, 1, 0, 0, 0, 0, 1, 0, 67, 0, 9, 1, 0, 1, 0, 1, 18, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7, 0, 0, 209, 0, 0, 0, 0, 
fcn_00406440, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 22, 0, 15, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0.0, 0.0, 1.0, 0, 0, 0, 74, 0, 0, 0, 0, 
fcn_00406630, 0, 13, 0, 0, 3, 1, 4, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 0, 33, 0, 10, 1, 0, 1, 0, 1, 12, 0.0, 0.75, 0.25, 1.0, 0.0, 0.0, 3, 0, 0, 96, 0, 0, 0, 0, 
fcn_004066f0, 0, 11, 0, 0, 5, 0, 5, 0, 0, 0, 0, 1.0, 4, 1, 0, 0, 0, 0, 1, 0, 39, 0, 6, 1, 0, 2, 1, 1, 10, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 4, 0, 0, 92, 0, 0, 0, 0, 
fcn_00406780, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 5, 13, 0, 0, 1, 1, 1, 7, 0, 0, 0, 0.0, 0.0, 1.0, 5, 0, 0, 86, 0, 0, 0, 0, 
fcn_004067d0, 0, 27, 2, 0, 7, 0, 7, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 57, 0, 7, 0, 0, 1, 1, 1, 19, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 147, 0, 0, 0, 0, 
fcn_00406890, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 15, 0, 9, 1, 0, 1, 0, 1, 5, 0, 0, 0, 1.0, 0.0, 0.0, 3, 0, 0, 45, 0, 0, 0, 0, 
fcn_004068c0, 2, 37, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 10, 1, 0, 0, 2, 0, 1, 0, 85, 0, 11, 2, 0, 2, 0, 1, 24, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 22, 0, 0, 260, 0, 0, 0, 0, 
fcn_004069e0, 8, 12, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0, 0, 0, 49, 0, 7, 0, 0, 0, 0, 0, 11, 0.0, 1.0, 0.0, 0, 0, 0, 8, 0, 0, 139, 0, 0, 0, 0, 
