_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
main_402e90, 1, 509, 12, 0, 134, 5, 139, 0, 0, 0, 0, 1.0, 217, 2, 1, 0, 0, 0, 0, 0, 1223, 8, 15, 8, 0, 12, 4, 1, 292, 0.0, 0.9640287769784173, 0.03597122302158273, 0.6666666666666666, 0.0, 0.3333333333333333, 289, 41, 0.0, 3844, 0, 0, 0, 0, 
fcn_0040474b, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 14, 0, 5, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 
fcn_004047a1, 0, 14, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 2, 1, 1, 0, 1, 0, 0, 0, 33, 0, 19, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 3, 0, 94, 0, 0, 0, 0, 
fcn_004047f8, 1, 10, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 24, 0, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 61, 0, 0, 0, 0, 
fcn_00404860, 0, 64, 8, 0, 15, 0, 15, 0, 0, 0, 0, 1.0, 32, 1, 0, 0, 0, 0, 0, 0, 163, 0, 12, 2, 0, 3, 1, 1, 59, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 17, 0, 0, 423, 0, 0, 0, 0, 
fcn_00404ae0, 1, 11, 1, 0, 3, 3, 6, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 28, 0, 10, 0, 0, 0, 0, 0, 12, 0.0, 0.5, 0.5, 0, 0, 0, 4, 0, 0, 90, 0, 0, 0, 0, 
fcn_00404b40, 0, 7, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 18, 1, 11, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 56, 0, 0, 0, 0, 
fcn_00404bb0, 0, 45, 0, 0, 16, 0, 16, 0, 0, 0, 0, 1.0, 21, 1, 0, 0, 0, 0, 0, 0, 131, 5, 12, 2, 0, 2, 0, 1, 46, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 12, 0, 0, 348, 0, 0, 0, 0, 
fcn_00404d90, 0, 17, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 25, 0, 9, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 5, 1, 0, 92, 0, 0, 0, 0, 
fcn_00404e20, 0, 7, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 1, 10, 0, 0, 0, 0, 0, 5, 0.0, 0.5, 0.5, 0, 0, 0, 3, 0, 0, 59, 0, 0, 0, 0, 
