_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
function_401bb0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401bb5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401bba, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401bbf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401bc4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401bc9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401bce, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401bd3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401be0, 0, 782, 71, 55, 128, 4, 187, 0, 32, 0, 2, 1.0, 118, 6, 2, 0, 0, 0, 0, 0, 1637, 325, 45, 0, 2, 19, 17, 4, 354, 0.29411764705882354, 0.6844919786096256, 0.0213903743315508, 0.0, 0.10526315789473684, 0.8947368421052632, 118, 0, 0, 4786, 0, 0, 0, 0, 
function_402c8b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
function_402caa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_402ce1, 0, 6, 2, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 27, 3, 13, 0, 0, 1, 1, 1, 11, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 0, 0, 70, 0, 0, 0, 0, 
function_402d38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 
function_402d40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 
function_402d50, 0, 28, 5, 4, 2, 0, 6, 0, 2, 0, 0, 1.0, 1, 1, 0, 0, 0, 0, 0, 0, 82, 12, 13, 0, 0, 4, 4, 1, 28, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 9, 0, 0, 234, 0, 0, 0, 0, 
function_402e40, 0, 7, 5, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 24, 6, 18, 0, 0, 0, 0, 0, 15, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 115, 0, 0, 0, 0, 
function_402ec0, 0, 24, 3, 0, 7, 0, 7, 0, 0, 0, 0, 1.0, 0, 2, 0, 0, 0, 0, 0, 0, 55, 11, 15, 0, 0, 1, 1, 1, 26, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2, 0, 0, 190, 0, 0, 0, 0, 
function_402f80, 0, 39, 3, 0, 5, 0, 5, 0, 0, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 80, 17, 17, 0, 0, 3, 3, 2, 30, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 17, 0, 0, 279, 0, 0, 0, 0, 
function_403050, 0, 39, 3, 0, 5, 0, 5, 0, 0, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 80, 17, 17, 0, 0, 3, 3, 2, 30, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 17, 0, 0, 279, 0, 0, 0, 0, 
function_403120, 0, 34, 9, 0, 5, 0, 5, 0, 4, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 65, 17, 19, 0, 0, 1, 1, 1, 39, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10, 0, 0, 275, 0, 0, 0, 0, 
function_403200, 0, 37, 9, 0, 5, 0, 5, 0, 2, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 68, 19, 18, 0, 0, 1, 1, 1, 33, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6, 0, 0, 256, 0, 0, 0, 0, 
