_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
_dl_relocate_static_pie, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 
usage, 0, 34, 5, 0, 16, 0, 16, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 108, 7, 23, 2, 0, 4, 2, 3, 26, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0, 0, 0, 412, 2, 0, 0, 0, 
emit_ancillary_info, 0, 79, 15, 0, 48, 0, 48, 0, 0, 0, 0, 0, 20, 4, 2, 0, 0, 0, 0, 0, 228, 17, 14, 2, 0, 4, 2, 4, 89, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0, 2, 0.0, 700, 1, 0, 0, 0, 
main_402c90, 0, 131, 25, 0, 72, 0, 72, 0, 0, 0, 0, 0, 40, 5, 1, 0, 0, 0, 0, 0, 346, 24, 12, 1, 0, 1, 0, 1, 147, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3, 4, 0, 1161, 1, 0, 0, 0, 
close_stdout_set_file_name, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 
close_stdout_set_ignore_EPIPE, 0, 20, 3, 0, 10, 0, 10, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 56, 6, 9, 2, 0, 3, 1, 2, 19, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0, 0, 0, 159, 1, 0, 0, 0, 
close_stdout, 0, 54, 11, 0, 37, 0, 37, 0, 0, 0, 0, 0, 12, 5, 3, 0, 0, 0, 0, 0, 165, 14, 12, 3, 0, 5, 2, 4, 68, 0.0, 1.0, 0.0, 0.6, 0.0, 0.4, 2, 0, 0, 507, 1, 0, 0, 0, 
dir_len, 0, 53, 2, 0, 27, 0, 27, 0, 1, 1, 3, 0, 0, 4, 2, 0, 0, 0, 0, 0, 129, 19, 15, 1, 0, 4, 3, 4, 65, 0.0, 1.0, 0.0, 0.25, 0.0, 0.75, 1, 1, 0, 442, 0, 0, 0, 0, 
mdir_name, 0, 55, 13, 0, 34, 0, 34, 0, 0, 0, 0, 0, 21, 6, 1, 0, 0, 0, 0, 0, 158, 10, 13, 1, 0, 1, 0, 1, 77, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 3, 0, 523, 0, 0, 0, 0, 
last_component, 0, 105, 4, 0, 52, 0, 52, 0, 0, 1, 3, 0, 0, 4, 3, 0, 0, 0, 0, 0, 248, 36, 14, 1, 0, 5, 4, 5, 118, 0.0, 1.0, 0.0, 0.2, 0.0, 0.8, 2, 0, 0, 811, 0, 0, 0, 0, 
base_len, 0, 22, 4, 0, 13, 0, 13, 0, 0, 0, 3, 0, 6, 3, 1, 0, 0, 0, 0, 0, 72, 10, 11, 1, 0, 4, 3, 3, 30, 0.0, 1.0, 0.0, 0.25, 0.0, 0.75, 0, 1, 0, 217, 0, 0, 0, 0, 
set_program_name, 0, 69, 15, 0, 46, 0, 46, 0, 0, 0, 0, 0, 17, 4, 1, 0, 0, 0, 0, 0, 191, 12, 15, 2, 0, 2, 0, 2, 87, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0.0, 630, 0, 0, 0, 0, 
clone_quoting_options, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 3, 8, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 46, 0, 0, 0, 0, 
get_quoting_style, 0, 17, 2, 0, 11, 0, 11, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 54, 6, 13, 1, 0, 3, 2, 2, 18, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 1, 1, 0, 158, 0, 0, 0, 0, 
set_quoting_style, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 1, 7, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 1, 0, 30, 0, 0, 0, 0, 
set_char_quoting, 0, 28, 39, 0, 11, 0, 11, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 0, 1, 0, 76, 11, 19, 3, 0, 3, 0, 2, 55, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 8, 0, 281, 0, 0, 0, 0, 
set_quoting_flags, 0, 22, 2, 0, 7, 0, 7, 0, 0, 0, 3, 0, 1, 3, 1, 0, 0, 0, 0, 0, 61, 10, 11, 3, 0, 5, 2, 3, 23, 0.0, 1.0, 0.0, 0.6, 0.0, 0.4, 1, 2, 0, 194, 0, 0, 0, 0, 
set_custom_quoting, 0, 32, 6, 0, 18, 0, 18, 0, 1, 0, 0, 0, 2, 3, 2, 0, 0, 0, 0, 0, 91, 9, 13, 2, 0, 5, 3, 3, 36, 0.0, 1.0, 0.0, 0.4, 0.0, 0.6, 1, 3, 0, 302, 0, 0, 0, 0, 
quotearg_buffer, 0, 24, 6, 0, 12, 0, 12, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 71, 9, 13, 1, 0, 3, 2, 2, 24, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 5, 10, 0, 240, 0, 0, 0, 0, 
quotearg_buffer_restyled, 0, 2648, 478, 0, 1415, 0, 1415, 0, 149, 0, 2, 0, 0, 9, 9, 0, 0, 0, 0, 0, 5921, 389, 14, 1, 0, 11, 10, 11, 2642, 0.0, 1.0, 0.0, 0.09090909090909091, 0.0, 0.9090909090909091, 52, 53, 0, 21339, 1283, 0, 0, 0, 
quotearg_alloc, 0, 16, 4, 0, 12, 0, 12, 0, 0, 0, 0, 0, 4, 3, 1, 0, 0, 0, 0, 0, 59, 6, 11, 1, 0, 2, 1, 1, 23, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 0, 0, 0, 179, 0, 0, 0, 0, 
quotearg_alloc_mem, 0, 14, 10, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 46, 9, 13, 2, 0, 3, 1, 1, 18, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 4, 10, 0, 186, 0, 0, 0, 0, 
