_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
usage, 0, 13, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 63, 13, 17, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0.0, 214, 0, 0, 0, 0, 
main_4025a0, 0, 17, 0, 0, 10, 0, 10, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 75, 9, 12, 1, 0, 2, 1, 1, 13, 0.0, 1.0, 0.0, 0.5, 0.0, 0.5, 2, 4, 0, 230, 0, 0, 0, 0, 
close_stdout_set_file_name, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 
close_stdout_set_ignore_EPIPE, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 
close_stdout, 0, 6, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 30, 6, 8, 0, 0, 0, 0, 0, 4, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 92, 0, 0, 0, 0, 
dir_len, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 3, 7, 1, 0, 1, 0, 1, 6, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1, 1, 0, 44, 0, 0, 0, 0, 
mdir_name, 0, 11, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 37, 8, 11, 1, 0, 1, 0, 1, 15, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2, 2, 0, 115, 0, 0, 0, 0, 
last_component, 0, 10, 2, 0, 3, 0, 3, 0, 0, 0, 0, 0.0, 1, 1, 1, 0, 0, 0, 0, 0, 31, 5, 9, 1, 1, 2, 0, 1, 9, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 1, 1, 0, 81, 0, 0, 0, 0, 
base_len, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 2, 7, 1, 0, 1, 0, 1, 4, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0, 1, 0, 35, 0, 0, 0, 0, 
set_program_name, 0, 9, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 27, 3, 15, 0, 0, 0, 0, 0, 10, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 1.0, 89, 0, 0, 0, 0, 
