_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
dl_relocate_static_pie, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 
dbg_usage, 0, 105, 1, 0, 31, 1, 32, 0, 0, 0, 0, 0, 36, 1, 0, 0, 0, 0, 1, 0, 241, 6, 19, 1, 0, 1, 0, 1, 54, 0.0, 0.96875, 0.03125, 1.0, 0.0, 0.0, 19, 1, 0.0, 683, 0, 0, 0, 0, 
dbg_main, 0, 51, 0, 0, 18, 0, 18, 0, 0, 0, 0, 0, 16, 2, 0, 0, 0, 0, 1, 0, 131, 5, 12, 1, 0, 1, 0, 1, 34, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 21, 2, 0, 412, 1, 0, 0, 0, 
dbg_close_stdout_set_file_name, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 15, 0, 0, 0, 0, 
dbg_close_stdout_set_ignore_EPIPE, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 14, 0, 0, 0, 0, 
dbg_close_stdout, 0, 24, 0, 0, 23, 0, 23, 0, 0, 0, 0, 0, 25, 1, 0, 0, 0, 0, 0, 0, 121, 3, 8, 1, 0, 1, 0, 1, 32, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 18, 5, 0, 321, 0, 0, 0, 0, 
dbg_parse_long_options, 0, 80, 0, 0, 18, 0, 18, 0, 0, 0, 0, 0, 19, 1, 0, 0, 1, 0, 0, 0, 171, 18, 35, 1, 0, 1, 0, 1, 42, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 28, 3, 0, 498, 0, 0, 0, 0, 
dbg_parse_gnu_standard_options_only, 0, 70, 0, 0, 25, 0, 25, 0, 0, 0, 0, 0, 28, 1, 0, 0, 1, 0, 0, 0, 187, 17, 41, 1, 0, 1, 0, 1, 53, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 27, 3, 0, 525, 0, 0, 0, 0, 
dbg_set_program_name, 0, 34, 0, 0, 17, 0, 17, 0, 0, 0, 0, 0, 16, 1, 0, 0, 0, 0, 1, 0, 102, 1, 16, 1, 0, 1, 0, 1, 28, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 10, 4, 0.0, 288, 0, 0, 0, 0, 
dbg_clone_quoting_options, 0, 12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 20, 1, 11, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 58, 0, 0, 0, 0, 
dbg_get_quoting_style, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0, 7, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 26, 0, 0, 0, 0, 
